Estação,Nome / Localização,Dias Com Dados,Cobertura (%),Total Pontos,H Médio (nT),H Mín (nT),H Máx (nT)
ALF,Alta Floresta - MT,0,0.0%,0,N/A,N/A,N/A
ARA,Araguatins - TO,356,97.3%,500468,24110.9,23718.0,24366.6
CAR,Carauari - AM,0,0.0%,0,N/A,N/A,N/A
CBA,Cuiabá - MT,0,0.0%,0,N/A,N/A,N/A
CHI,Chuí - RS,80,21.9%,94201,19134.5,18710.9,19267.7
CXP,Cuiabá - MT (EMBRACE-01),343,93.7%,447283,18561.2,17918.6,25272.3
EUS,Eusébio - CE,349,95.4%,487052,25127.6,24587.6,25319.2
JAT,Jataí - GO,329,89.9%,440794,19718.7,19079.3,20149.3
MAN,Manaus - AM,0,0.0%,0,N/A,N/A,N/A
MED,Medianeira - PR,204,55.7%,255068,17934.2,17731.7,18094.0
PAL,Palmas - TO,0,0.0%,0,N/A,N/A,N/A
PVE,Porto Velho - RO,336,91.8%,466296,24324.7,23825.3,24712.9
RGA,Rio Grande - RS / ARG,300,82.0%,404944,19545.4,19156.3,20040.1
SJC,São José dos Campos - SP,327,89.3%,458708,17533.2,17067.1,17700.8
SLZ,São Luís - MA,341,93.2%,488095,25603.5,25026.2,25833.4
SMS,São Martinho da Serra - RS,296,80.9%,386156,17625.3,17120.6,18105.3
STM,Santarém - PA,257,70.2%,330103,25861.7,25087.9,26371.4
TCM,Tacuru - MS,89,24.3%,117247,19470.5,18983.9,19622.6
VSS,Vassouras - RJ (INTERMAGNET),353,96.4%,497024,18122.3,17767.4,18403.3
