data,aod550_total,aod550_org,aod550_bc,aod550_fumaca,dominio
2024-04-15,0.19503553,0.1428011,0.006965542,0.14976665,corredor
2024-04-16,0.18212214,0.13286501,0.006512677,0.1393777,corredor
2024-04-17,0.04760363,0.03150919,0.0022279369,0.033737127,corredor
2024-04-18,0.010427887,0.004472388,0.0005008451,0.004973233,corredor
2024-04-19,0.010907785,0.005171238,0.00059835135,0.0057695895,corredor
2024-04-20,0.01330995,0.0073926384,0.00089733285,0.008289971,corredor
2024-04-21,0.02691527,0.017266354,0.0017566272,0.01902298,corredor
2024-04-22,0.07281821,0.046466026,0.0031455061,0.04961153,corredor
2024-04-23,0.11132954,0.07780098,0.004750559,0.08255154,corredor
2024-04-24,0.11532098,0.0770597,0.004953088,0.08201279,corredor
2024-04-25,0.123673245,0.082224235,0.004990639,0.08721487,corredor
2024-04-26,0.10411274,0.06683013,0.0050225314,0.071852654,corredor
2024-04-27,0.08762821,0.05847778,0.0052386173,0.0637164,corredor
2024-04-28,0.09847912,0.06910659,0.0058114855,0.07491807,corredor
2024-04-29,0.09852206,0.06912459,0.0054126675,0.074537255,corredor
2024-04-30,0.078524634,0.05241044,0.004438838,0.05684928,corredor
2024-05-01,0.09138409,0.06105594,0.004394342,0.06545028,corredor
2024-05-02,0.10708351,0.07255187,0.004828031,0.0773799,corredor
2024-05-03,0.1356639,0.08781469,0.0061331214,0.09394781,corredor
2024-05-04,0.15221265,0.10640064,0.0072008204,0.11360146,corredor
2024-05-05,0.101729155,0.07269553,0.005439913,0.078135446,corredor
2024-05-06,0.052795917,0.03554793,0.0034623183,0.03901025,corredor
2024-05-07,0.05603878,0.038633235,0.0042146686,0.0428479,corredor
2024-05-08,0.08792564,0.060799956,0.0055652303,0.06636518,corredor
2024-05-09,0.092216626,0.0626225,0.0049673095,0.067589805,corredor
2024-05-10,0.17715576,0.12556139,0.008711381,0.13427277,corredor
2024-05-11,0.16912349,0.12346565,0.008900488,0.13236614,corredor
2024-05-12,0.15698896,0.11238367,0.008810282,0.12119395,corredor
2024-05-13,0.14006735,0.09055064,0.0076026986,0.09815334,corredor
2024-05-14,0.08873255,0.04414777,0.0038876687,0.04803544,corredor
2024-05-15,0.0782288,0.042507224,0.003143436,0.04565066,corredor
2024-05-16,0.114656225,0.072760984,0.0048913253,0.07765231,corredor
2024-05-17,0.15346588,0.106509306,0.0073076133,0.11381692,corredor
2024-05-18,0.15314785,0.10481159,0.0067935097,0.11160509,corredor
2024-05-19,0.090247124,0.05340086,0.0038033894,0.05720425,corredor
2024-05-20,0.042116135,0.024217987,0.0020695182,0.026287505,corredor
2024-05-21,0.091097474,0.06479737,0.0055481237,0.0703455,corredor
2024-05-22,0.107375994,0.07878126,0.007691104,0.08647237,corredor
2024-05-23,0.13517448,0.099909104,0.009576114,0.10948522,corredor
2024-05-24,0.11717187,0.073986925,0.006985248,0.08097217,corredor
2024-05-25,0.067784406,0.031898722,0.0032156846,0.035114408,corredor
