data,aod550_total,aod550_org,aod550_bc,aod550_fumaca,dominio
2024-08-01,0.25671467,0.19579521,0.03461959,0.23041481,corredor
2024-08-02,0.25434843,0.18706878,0.045367476,0.23243627,corredor
2024-08-03,0.46679878,0.34730232,0.087738745,0.43504107,corredor
2024-08-04,0.8535002,0.69085413,0.110367596,0.8012217,corredor
2024-08-05,0.75217086,0.61241984,0.0913596,0.70377946,corredor
2024-08-06,0.6768131,0.53795356,0.090171605,0.62812513,corredor
2024-08-07,0.6307851,0.5122474,0.079222016,0.5914694,corredor
2024-08-08,0.5203248,0.43050444,0.056280717,0.48678517,corredor
2024-08-09,0.102120936,0.07711804,0.009799249,0.08691729,corredor
2024-08-10,0.019456021,0.010446141,0.0011667595,0.0116129,corredor
2024-08-11,0.02123309,0.0142563805,0.0016743925,0.015930772,corredor
2024-08-12,0.020872248,0.012519413,0.001765009,0.014284422,corredor
2024-08-13,0.019542556,0.010620159,0.0016414656,0.012261625,corredor
2024-08-14,0.08467825,0.060687944,0.011178784,0.07186673,corredor
2024-08-15,0.41143048,0.318654,0.06725819,0.38591218,corredor
2024-08-16,0.6689266,0.5247253,0.112713784,0.63743913,corredor
2024-08-17,0.7528244,0.6035671,0.1090663,0.7126334,corredor
2024-08-18,0.7195904,0.5815377,0.103621796,0.68515956,corredor
2024-08-19,0.67574924,0.54477745,0.09162703,0.63640445,corredor
2024-08-20,0.8991271,0.73605,0.111267805,0.8473178,corredor
2024-08-21,0.7714262,0.6323398,0.10009323,0.732433,corredor
2024-08-22,0.82963336,0.68191904,0.11492499,0.79684407,corredor
2024-08-23,0.68087494,0.5652935,0.07703228,0.64232576,corredor
2024-08-24,0.26615247,0.21321584,0.026331479,0.23954733,corredor
2024-08-25,0.0561162,0.034295935,0.0042339694,0.038529906,corredor
2024-08-26,0.02835852,0.016573517,0.0028706565,0.019444173,corredor
2024-08-27,0.12953024,0.099085405,0.015182823,0.11426823,corredor
2024-08-28,0.48928484,0.39269957,0.066477284,0.45917687,corredor
2024-08-29,0.7908592,0.64075255,0.11097081,0.7517234,corredor
2024-08-30,0.80313337,0.6428876,0.120670624,0.76355827,corredor
2024-08-31,0.8734954,0.71360326,0.11683237,0.83043563,corredor
2024-09-01,0.80009854,0.65661347,0.10843606,0.7650496,corredor
2024-09-02,0.53024745,0.4265677,0.086792305,0.51336,corredor
2024-09-03,0.63395935,0.5048945,0.10704744,0.61194193,corredor
2024-09-04,1.4088902,1.1568499,0.19986245,1.3567123,corredor
2024-09-05,1.0470946,0.87817127,0.12927756,1.0074488,corredor
2024-09-06,0.4535257,0.36702657,0.07122135,0.43824792,corredor
2024-09-07,1.5873125,1.2795452,0.26573074,1.5452759,corredor
2024-09-08,1.6108027,1.2556214,0.3021011,1.5577226,corredor
2024-09-09,1.8919013,1.4875425,0.34050912,1.8280516,corredor
2024-09-10,2.0287125,1.6013507,0.37194234,1.9732931,corredor
2024-09-11,1.4756882,1.1556364,0.27744013,1.4330766,corredor
2024-09-12,2.2232141,1.8283741,0.32928514,2.1576593,corredor
2024-09-13,2.533431,2.0912244,0.36238578,2.4536102,corredor
2024-09-14,1.6165361,1.3485906,0.19964156,1.5482321,corredor
2024-09-15,0.812498,0.6743946,0.08697166,0.76136625,corredor
2024-09-16,0.28090888,0.22752917,0.030653812,0.25818297,corredor
2024-09-17,0.07715598,0.05722931,0.010665157,0.067894466,corredor
2024-09-18,0.6519802,0.5194855,0.096689,0.61617446,corredor
2024-09-19,1.4733491,1.1840078,0.22958258,1.4135903,corredor
