data,aod550_total,aod550_org,aod550_bc,aod550_fumaca,dominio
2024-08-01,0.25340223,0.19532676,0.035275493,0.23060226,fogo
2024-08-02,0.264808,0.2019203,0.037799224,0.23971952,fogo
2024-08-03,0.27110654,0.20966023,0.035708144,0.24536836,fogo
2024-08-04,0.29030845,0.2276048,0.037821166,0.26542598,fogo
2024-08-05,0.33219498,0.26160893,0.045559153,0.3071681,fogo
2024-08-06,0.33761823,0.26919022,0.045209423,0.31439966,fogo
2024-08-07,0.36161923,0.2885146,0.048311517,0.33682612,fogo
2024-08-08,0.44496876,0.36140436,0.05441015,0.4158145,fogo
2024-08-09,0.48707986,0.39654344,0.056313004,0.45285642,fogo
2024-08-10,0.47535747,0.3839733,0.056605075,0.44057837,fogo
2024-08-11,0.4628981,0.3729568,0.05479456,0.42775136,fogo
2024-08-12,0.4976998,0.40283698,0.06020444,0.46304142,fogo
2024-08-13,0.5298432,0.43048126,0.06859506,0.4990763,fogo
2024-08-14,0.56256497,0.45685077,0.07642472,0.5332755,fogo
2024-08-15,0.5125311,0.4126413,0.07110804,0.48374933,fogo
2024-08-16,0.49720985,0.39903963,0.06810725,0.46714687,fogo
2024-08-17,0.449606,0.35989672,0.060812883,0.4207096,fogo
2024-08-18,0.39690906,0.31665522,0.052664984,0.3693202,fogo
2024-08-19,0.37427643,0.2984167,0.049798775,0.34821546,fogo
2024-08-20,0.41208455,0.33015686,0.053683862,0.3838407,fogo
2024-08-21,0.40067104,0.3197382,0.0553986,0.37513682,fogo
2024-08-22,0.38545954,0.30610204,0.054021467,0.3601235,fogo
2024-08-23,0.44893068,0.35829192,0.061697375,0.4199893,fogo
2024-08-24,0.5846851,0.47022116,0.08028931,0.5505105,fogo
2024-08-25,0.79886013,0.65156025,0.107120775,0.758681,fogo
2024-08-26,0.8210468,0.6690936,0.11621334,0.78530693,fogo
2024-08-27,0.8331311,0.6716174,0.1304592,0.8020766,fogo
2024-08-28,1.0038588,0.81260073,0.15821692,0.9708177,fogo
2024-08-29,1.0328652,0.83853304,0.1646707,1.0032037,fogo
2024-08-30,0.9893022,0.80742913,0.15315548,0.96058464,fogo
2024-08-31,0.8800098,0.7152883,0.13639972,0.851688,fogo
2024-09-01,0.8723697,0.7058894,0.13690613,0.8427955,fogo
2024-09-02,0.859552,0.69210845,0.13768278,0.82979125,fogo
2024-09-03,0.9274558,0.7471677,0.14774214,0.89490986,fogo
2024-09-04,1.04141,0.840283,0.16540402,1.005687,fogo
2024-09-05,1.1932094,0.96578693,0.18732035,1.1531073,fogo
2024-09-06,1.2472925,0.99111235,0.21415086,1.2052633,fogo
2024-09-07,1.1773171,0.9248055,0.2121404,1.136946,fogo
2024-09-08,1.0925124,0.8594646,0.19463246,1.054097,fogo
2024-09-09,1.0799575,0.849264,0.1895972,1.0388613,fogo
2024-09-10,1.1586654,0.9136739,0.19370726,1.1073811,fogo
2024-09-11,1.135223,0.8963356,0.18243992,1.0787755,fogo
2024-09-12,1.0507811,0.831494,0.16185932,0.9933533,fogo
2024-09-13,0.9654739,0.75923246,0.14843144,0.9076639,fogo
2024-09-14,0.9739518,0.77113175,0.1407797,0.9119115,fogo
2024-09-15,1.1707042,0.94494146,0.1553382,1.1002796,fogo
2024-09-16,1.2716665,1.0254525,0.17475028,1.2002028,fogo
2024-09-17,1.3869268,1.1119622,0.20594192,1.3179042,fogo
2024-09-18,1.3429706,1.0741707,0.2030885,1.2772591,fogo
2024-09-19,1.1647255,0.9260642,0.17596696,1.1020311,fogo
2024-09-20,0.87092537,0.68530905,0.1334523,0.81876135,fogo
2024-09-21,0.7972499,0.6223914,0.11999715,0.74238855,fogo
2024-09-22,0.8260542,0.63998914,0.12666887,0.766658,fogo
2024-09-23,0.867547,0.6709023,0.13254714,0.80344945,fogo
2024-09-24,0.95399964,0.74120766,0.13756478,0.87877244,fogo
2024-09-25,0.99857736,0.7778343,0.14233318,0.92016745,fogo
2024-09-26,1.0132303,0.79611146,0.1356214,0.9317329,fogo
2024-09-27,1.0944417,0.8747962,0.12967351,1.0044698,fogo
2024-09-28,0.9817653,0.7759167,0.12600711,0.9019238,fogo
2024-09-29,0.9453227,0.744227,0.12469551,0.86892253,fogo
2024-09-30,0.80145127,0.62909454,0.10619159,0.7352861,fogo
2024-10-01,0.5173783,0.39959106,0.069552526,0.46914357,fogo
2024-10-02,0.380192,0.29124087,0.054950017,0.3461909,fogo
2024-10-03,0.55124354,0.43166667,0.07980602,0.5114727,fogo
2024-10-04,0.7463673,0.58703864,0.1105472,0.6975858,fogo
2024-10-05,0.7754997,0.6069739,0.12114453,0.7281184,fogo
2024-10-06,0.79053974,0.61597353,0.12542583,0.74139935,fogo
2024-10-07,0.7546257,0.5911659,0.112990886,0.70415676,fogo
2024-10-08,0.47430936,0.3686553,0.066455744,0.43511105,fogo
2024-10-09,0.366635,0.2829122,0.048343193,0.33125538,fogo
2024-10-10,0.40408885,0.31308827,0.05162756,0.3647158,fogo
2024-10-11,0.36406648,0.27970433,0.045567866,0.3252722,fogo
2024-10-12,0.3810786,0.2935189,0.0471504,0.3406693,fogo
2024-10-13,0.41962677,0.3266241,0.051783137,0.3784072,fogo
2024-10-14,0.48943067,0.3791302,0.061881572,0.4410118,fogo
2024-10-15,0.51353246,0.39537734,0.06504831,0.46042565,fogo
2024-10-16,0.50523573,0.39225122,0.059540153,0.45179138,fogo
2024-10-17,0.46506384,0.36255714,0.05475334,0.41731048,fogo
2024-10-18,0.4301377,0.3373743,0.05102514,0.38839942,fogo
2024-10-19,0.42079806,0.3348005,0.04349637,0.37829688,fogo
2024-10-20,0.31743562,0.2469381,0.03399668,0.28093478,fogo
2024-10-21,0.30239737,0.23338246,0.03318049,0.26656297,fogo
2024-10-22,0.31039494,0.23755378,0.031780183,0.26933396,fogo
2024-10-23,0.25511947,0.19312471,0.028659366,0.22178409,fogo
2024-10-24,0.24245432,0.181901,0.029833756,0.21173474,fogo
2024-10-25,0.27311927,0.204014,0.03361328,0.23762728,fogo
2024-10-26,0.3338782,0.25116107,0.039267346,0.2904284,fogo
2024-10-27,0.35792127,0.27126715,0.03694211,0.30820924,fogo
2024-10-28,0.28669435,0.21548724,0.034202587,0.24968983,fogo
2024-10-29,0.3019564,0.22682643,0.038166016,0.26499245,fogo
2024-10-30,0.3191453,0.24165255,0.037231103,0.27888364,fogo
2024-10-31,0.3193204,0.24275866,0.03539057,0.27814925,fogo
