data,aod550_total,aod550_org,aod550_bc,aod550_fumaca,dominio
2024-01-01,0.095248416,0.05042961,0.0035572862,0.053986896,rs
2024-01-02,0.1284305,0.067777164,0.0042232894,0.07200045,rs
2024-01-03,0.09855616,0.049175568,0.0034745424,0.05265011,rs
2024-01-04,0.091595985,0.040308718,0.0029843939,0.04329311,rs
2024-01-05,0.087910786,0.035183802,0.0029883392,0.03817214,rs
2024-01-06,0.0784321,0.031453207,0.0029455412,0.03439875,rs
2024-01-07,0.08396696,0.04330769,0.0034999293,0.04680762,rs
2024-01-08,0.1308507,0.08114363,0.005182381,0.08632601,rs
2024-01-09,0.119734466,0.08075771,0.005475786,0.08623349,rs
2024-01-10,0.18596192,0.13236047,0.00891709,0.14127757,rs
2024-01-11,0.22705609,0.16228518,0.01017665,0.17246182,rs
2024-01-12,0.10050322,0.059162617,0.0044593127,0.06362193,rs
2024-01-13,0.04091751,0.01919597,0.0016449548,0.020840926,rs
2024-01-14,0.06765121,0.04228515,0.0036113297,0.045896478,rs
2024-01-15,0.059574388,0.04017609,0.0030886035,0.043264695,rs
2024-01-16,0.08143625,0.053351402,0.0034878254,0.056839228,rs
2024-01-17,0.1211886,0.08148783,0.004484612,0.085972436,rs
2024-01-18,0.1664376,0.11406229,0.006553459,0.12061575,rs
2024-01-19,0.13134709,0.085493915,0.0059969816,0.091490895,rs
2024-01-20,0.07146484,0.03816663,0.0025957152,0.040762346,rs
2024-01-21,0.06927256,0.022529397,0.0021020959,0.024631493,rs
2024-01-22,0.093523666,0.028964657,0.00271869,0.031683348,rs
2024-01-23,0.08926417,0.024702173,0.0026282144,0.027330387,rs
2024-01-24,0.090604715,0.026551653,0.003068081,0.029619733,rs
2024-01-25,0.052755065,0.017605532,0.002204546,0.019810077,rs
2024-01-26,0.07136767,0.027753396,0.0024610036,0.0302144,rs
2024-01-27,0.088404745,0.03184289,0.0024464559,0.034289345,rs
2024-01-28,0.084014915,0.02911866,0.002022458,0.03114112,rs
2024-01-29,0.055527627,0.021397727,0.0015397219,0.022937449,rs
2024-01-30,0.03614676,0.015699893,0.0012739522,0.016973846,rs
2024-01-31,0.037216876,0.019684838,0.0015997159,0.021284554,rs
2024-02-01,0.04835175,0.025846953,0.0023977093,0.028244661,rs
2024-02-02,0.04088873,0.02185273,0.0022386243,0.024091354,rs
2024-02-03,0.06278333,0.035429515,0.0032955136,0.03872503,rs
2024-02-04,0.14502914,0.08855836,0.007296365,0.09585472,rs
2024-02-05,0.17709173,0.102703825,0.007538196,0.11024202,rs
2024-02-06,0.11293157,0.0645433,0.004776933,0.06932023,rs
2024-02-07,0.1030138,0.06285314,0.005048378,0.06790152,rs
2024-02-08,0.09763603,0.06433267,0.005613489,0.06994616,rs
2024-02-09,0.11076673,0.07341229,0.006118752,0.079531044,rs
2024-02-10,0.16322555,0.10872016,0.008703131,0.11742329,rs
2024-02-11,0.13288495,0.08870902,0.00728472,0.09599374,rs
2024-02-12,0.10580024,0.07169272,0.0056902086,0.07738294,rs
2024-02-13,0.11035577,0.054927617,0.0035158677,0.058443487,rs
2024-02-14,0.101598315,0.022129538,0.001630219,0.023759756,rs
2024-02-15,0.108226076,0.021009892,0.0022081323,0.023218025,rs
2024-02-16,0.104406826,0.03141069,0.0028298732,0.034240566,rs
2024-02-17,0.10785845,0.038369693,0.0029379535,0.041307647,rs
2024-02-18,0.06319505,0.024018668,0.0019094374,0.025928106,rs
2024-02-19,0.07123754,0.031591244,0.0018974234,0.03348867,rs
2024-02-20,0.059635818,0.027997974,0.0015893738,0.029587347,rs
2024-02-21,0.03675481,0.015642542,0.0010850141,0.016727556,rs
2024-02-22,0.042309344,0.019435788,0.0013765013,0.02081229,rs
2024-02-23,0.049540866,0.029391056,0.002400179,0.031791233,rs
2024-02-24,0.10112367,0.06264451,0.004677503,0.06732201,rs
2024-02-25,0.13054334,0.06854774,0.004705894,0.07325363,rs
2024-02-26,0.1757257,0.09288369,0.005437356,0.09832105,rs
2024-02-27,0.12724368,0.07676273,0.004842114,0.081604846,rs
2024-02-28,0.09299833,0.05816634,0.004620947,0.06278729,rs
2024-02-29,0.0989872,0.060272694,0.004208242,0.06448093,rs
2024-03-01,0.07672472,0.04303136,0.0032735374,0.0463049,rs
2024-03-02,0.053522572,0.030714465,0.0023543625,0.03306883,rs
2024-03-03,0.11781922,0.072230525,0.0056506563,0.07788119,rs
2024-03-04,0.100404054,0.05298522,0.003950392,0.056935612,rs
2024-03-05,0.059705302,0.02912537,0.0024647969,0.031590167,rs
2024-03-06,0.02752154,0.010279054,0.0010325686,0.011311622,rs
2024-03-07,0.056331962,0.031052975,0.0025029962,0.03355597,rs
2024-03-08,0.12371765,0.075595945,0.004788122,0.08038406,rs
2024-03-09,0.07216405,0.045006838,0.003039367,0.048046205,rs
2024-03-10,0.034710713,0.020114314,0.0016034984,0.021717813,rs
2024-03-11,0.03434639,0.017842393,0.0015050624,0.019347455,rs
2024-03-12,0.04683236,0.025421552,0.0024056388,0.02782719,rs
2024-03-13,0.069325626,0.0443553,0.0051895557,0.049544856,rs
2024-03-14,0.12944451,0.091513276,0.011161516,0.1026748,rs
