data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-04-01,-0.25778747,-0.2065086,-0.20336732,-0.20852725,-0.1956276,-0.19368002,-0.15733345,-0.20493796,-0.17550674,-0.029431233,0.020038405959288172,91.27657,0.0754018,brasil
2024-04-02,-0.2264029,-0.21409774,-0.20984773,-0.19400108,-0.19166034,-0.19165975,-0.15809925,-0.21197274,-0.17487949,-0.037093244,0.019244863600619166,82.17836,0.08021052,brasil
2024-04-03,-0.230861,-0.23935063,-0.21459602,-0.16600244,-0.18080479,-0.19870731,-0.1565025,-0.22697333,-0.1776049,-0.049368426,0.017492360737441343,114.10729,0.07270034,brasil
2024-04-04,-0.2215766,-0.23909904,-0.2040588,-0.16795762,-0.1813578,-0.17533645,-0.12555388,-0.22157893,-0.15044516,-0.071133755,0.01866745059585953,126.31707,0.07795501,brasil
2024-04-05,-0.23789522,-0.22525282,-0.19103055,-0.17324042,-0.18273517,-0.16855383,-0.13011147,-0.20814167,-0.14933264,-0.058809023,0.023446882888187,132.23662,0.08780436,brasil
2024-04-06,-0.20300232,-0.1951527,-0.18081021,-0.18821995,-0.1865136,-0.18304838,-0.1669105,-0.18798146,-0.17497945,-0.013002021,0.027461758191917665,132.51338,0.09882464,brasil
2024-04-07,-0.25945306,-0.26707792,-0.25613052,-0.20258741,-0.20566522,-0.18306845,-0.18159994,-0.26160425,-0.1823342,-0.079270035,0.027032346083562406,112.81891,0.10179524,brasil
2024-04-08,-0.25396523,-0.27345383,-0.24451178,-0.19579223,-0.21101363,-0.18924092,-0.1797755,-0.2589828,-0.1845082,-0.0744746,0.024380160687651864,118.12974,0.09770748,brasil
2024-04-09,-0.25039154,-0.2654176,-0.2624546,-0.20460205,-0.20147415,-0.1819545,-0.14553663,-0.2639361,-0.16374557,-0.10019052,0.02083469760780142,118.67102,0.09012338,brasil
2024-04-10,-0.21614243,-0.20719345,-0.21008709,-0.20546879,-0.19805354,-0.15351059,-0.10976331,-0.20864026,-0.13163695,-0.077003315,0.028946112089079837,107.02164,0.11304501,brasil
2024-04-11,-0.1729653,-0.17780519,-0.17432116,-0.19599986,-0.19034207,-0.1392191,-0.108853586,-0.17606318,-0.12403634,-0.052026838,0.03582912393706268,91.35826,0.13677359,brasil
