data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-08-01,-0.42998242,-0.3697892,-0.24883659,-0.19143826,-0.10328907,-0.10621153,-0.09033383,-0.3093129,-0.09827268,-0.21104021,0.00816616609025446,104.370094,0.045122962,brasil
2024-08-02,-0.28228605,-0.27626586,-0.20069897,-0.15740691,-0.10789009,-0.11177933,-0.12839518,-0.23848242,-0.12008726,-0.118395165,0.010086690717788789,109.32417,0.05070349,brasil
2024-08-03,-0.27606943,-0.26420447,-0.20188206,-0.15152742,-0.11867265,-0.12351468,-0.2573764,-0.23304327,-0.19044554,-0.04259772,0.0062084392918490255,102.15028,0.042905,brasil
2024-08-04,-0.2784271,-0.24330035,-0.22577341,-0.15930535,-0.118517786,-0.10409315,-0.24866799,-0.23453689,-0.17638057,-0.058156315,0.01101909917890845,81.17172,0.049389042,brasil
2024-08-05,-0.32087368,-0.24659729,-0.24268085,-0.14927638,-0.11191068,-0.13448825,-0.23085238,-0.24463907,-0.18267033,-0.06196875,0.012286148386097775,87.372635,0.055362847,brasil
2024-08-06,-0.2748925,-0.20494977,-0.24027556,-0.13667105,-0.117228895,-0.14817446,-0.27022377,-0.22261266,-0.20919912,-0.0134135485,0.007562344368623124,81.22919,0.04589489,brasil
2024-08-07,-0.18959083,-0.1433773,-0.2038787,-0.13474858,-0.13702816,-0.15290423,-0.28149801,-0.173628,-0.21720111,0.04357311,0.012555162000838435,65.5233,0.05982126,brasil
2024-08-08,-0.3128074,-0.2546833,-0.2693018,-0.15010914,-0.12586787,-0.18625535,-0.30169085,-0.26199254,-0.24397309,-0.018019453,0.015695011329359597,32.241318,0.07135467,brasil
2024-08-09,-0.50196695,-0.43015814,-0.34430927,-0.16586362,-0.12916175,-0.19596651,-0.3576215,-0.3872337,-0.276794,-0.11043971,0.026948222503948637,27.888334,0.08927562,brasil
2024-08-10,-0.677853,-0.58867085,-0.42018244,-0.1922814,-0.14232051,-0.16355368,-0.2606637,-0.50442666,-0.21210867,-0.292318,0.024548571983586516,37.356953,0.073208235,brasil
2024-08-11,-0.6212226,-0.5474763,-0.38162884,-0.16381833,-0.11100928,-0.12753898,-0.19673803,-0.46455252,-0.1621385,-0.30241403,0.007546865104736729,40.51393,0.039198898,brasil
2024-08-12,-0.6007085,-0.53202486,-0.43973386,-0.20295161,-0.12924322,-0.1669323,-0.26382202,-0.48587936,-0.21537715,-0.2705022,0.008501576227138742,42.242912,0.03725387,brasil
2024-08-13,-0.62321264,-0.5431441,-0.41864806,-0.19524823,-0.12981652,-0.13360918,-0.23741987,-0.4808961,-0.18551454,-0.29538158,0.005454117399346167,74.419266,0.034408633,brasil
2024-08-14,-0.5921267,-0.4955888,-0.3149095,-0.17045863,-0.13408507,-0.10809553,-0.17935354,-0.40524915,-0.14372453,-0.26152462,0.006265725347443743,79.02642,0.04131935,brasil
2024-08-15,-0.57270527,-0.45330548,-0.31786308,-0.16617456,-0.1268783,-0.10897964,-0.19657104,-0.38558426,-0.15277535,-0.23280893,0.004617486810248262,82.10141,0.036138304,brasil
2024-08-16,-0.4775558,-0.35173762,-0.28802386,-0.15223421,-0.13727936,-0.10652862,-0.11931576,-0.31988075,-0.11292219,-0.20695856,0.005111660228802474,62.291954,0.032438923,brasil
2024-08-17,-0.39696327,-0.25635123,-0.24772996,-0.14803524,-0.12604865,-0.11297136,-0.07607066,-0.2520406,-0.09452101,-0.15751958,0.00965157251405103,36.090733,0.03578968,brasil
2024-08-18,-0.37306374,-0.23124938,-0.22643194,-0.15155548,-0.11700995,-0.10952471,-0.09992175,-0.22884065,-0.10472323,-0.12411742,0.010469966635684197,37.348694,0.047290727,brasil
2024-08-19,-0.32741055,-0.21331985,-0.22884241,-0.15990081,-0.12228806,-0.1354952,-0.074178234,-0.22108112,-0.10483672,-0.11624441,0.008698549068719717,52.22434,0.047420405,brasil
2024-08-20,-0.28949085,-0.19928454,-0.21096112,-0.13564159,-0.13458243,-0.12862155,-0.107534334,-0.20512283,-0.11807795,-0.08704488,0.009069315131621274,39.70453,0.06609131,brasil
2024-08-21,-0.15059733,-0.13025506,-0.14559874,-0.12685506,-0.12521522,-0.1519577,-0.2227234,-0.1379269,-0.18734056,0.04941365,0.012346854640327089,75.6469,0.065425895,brasil
2024-08-22,-0.19159439,-0.18753578,-0.13975677,-0.12864628,-0.12816644,-0.14777727,-0.31921345,-0.16364627,-0.23349535,0.06984909,0.016488549584610917,80.94139,0.058443483,brasil
2024-08-23,-0.2682546,-0.24770908,-0.18824643,-0.12803252,-0.14372465,-0.16300374,-0.3619253,-0.21797775,-0.26246452,0.044486783,0.017486055249976595,72.021645,0.06462603,brasil
2024-08-24,-0.38040337,-0.3364505,-0.2792203,-0.15107341,-0.14581057,-0.19073148,-0.37683058,-0.3078354,-0.28378102,-0.024054382,0.01476602189446948,57.417576,0.06288488,brasil
2024-08-25,-0.43062943,-0.38216293,-0.3480065,-0.20237106,-0.17445128,-0.21754092,-0.41690803,-0.3650847,-0.31722447,-0.047860235,0.02871579311684001,67.88626,0.07683867,brasil
2024-08-26,-0.45875382,-0.43118468,-0.34789705,-0.19931498,-0.14584276,-0.21255368,-0.47769958,-0.38954088,-0.34512663,-0.04441425,0.01912103886876841,57.55215,0.060739364,brasil
2024-08-27,-0.5010442,-0.441951,-0.3815164,-0.18729861,-0.11445744,-0.15375742,-0.3192689,-0.4117337,-0.23651317,-0.17522053,0.008668761187390201,48.886158,0.04632536,brasil
2024-08-28,-0.3742882,-0.3388594,-0.31400064,-0.15777741,-0.10181814,-0.10690509,-0.1360686,-0.32643002,-0.12148684,-0.20494318,0.007523994999409764,80.61838,0.040967032,brasil
2024-08-29,-0.23633945,-0.27218655,-0.2609434,-0.17525983,-0.08958519,-0.09598257,-0.11038419,-0.26656497,-0.103183374,-0.16338159,0.008030528498212581,95.50813,0.045554172,brasil
2024-08-30,-0.14144936,-0.13690194,-0.15375923,-0.18406229,-0.12004977,-0.1541563,-0.19865224,-0.1453306,-0.17640427,0.031073682,0.01815880881967402,80.73266,0.058052495,brasil
2024-08-31,-0.41369832,-0.3272509,-0.2860328,-0.17598711,-0.1418593,-0.1656511,-0.18495801,-0.30664185,-0.17530456,-0.13133731,0.012011407572683704,48.388527,0.054205887,brasil
2024-09-01,-0.58893585,-0.51828986,-0.40680254,-0.19462545,-0.13995528,-0.14815119,-0.24482599,-0.46254617,-0.19648859,-0.26605758,0.01056601621257649,44.634872,0.043291062,brasil
2024-09-02,-0.6263603,-0.5320203,-0.3588334,-0.1805535,-0.14278328,-0.1531567,-0.2715655,-0.44542685,-0.2123611,-0.23306572,0.00983898028902463,42.237625,0.03842173,brasil
2024-09-03,-0.483883,-0.36889848,-0.28101006,-0.15953344,-0.12713382,-0.14547235,-0.197675,-0.32495427,-0.17157368,-0.15338059,0.004748462040504164,40.10258,0.026270114,brasil
