data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-04-01,-0.42678684,-0.17634985,-0.2830124,-0.47117907,-0.5173017,-0.49923664,-0.42158598,-0.22968113,-0.46041128,0.23073018,0.021176939048883573,156.61131,0.05590432,corredor
2024-04-02,-0.25002596,-0.24103487,-0.27743843,-0.34055033,-0.37783727,-0.3489887,-0.4188029,-0.25923663,-0.38389578,0.12465915,0.012036785763929308,141.3681,0.08374034,corredor
2024-04-03,-0.26371357,-0.19284016,-0.20286855,-0.23053586,-0.22700939,-0.16129373,-0.15700541,-0.19785435,-0.15914956,-0.038704786,0.0008773767303060058,190.0392,0.023260303,corredor
2024-04-04,-0.328854,-0.13880685,-0.2113448,-0.30488226,-0.38846472,-0.33431393,-0.15438756,-0.17507583,-0.24435076,0.06927493,0.01129332230140489,224.7266,0.07162838,corredor
2024-04-05,-0.34314528,-0.18700361,-0.25515595,-0.31908038,-0.3448691,-0.27191654,-0.07846932,-0.22107978,-0.17519292,-0.045886863,0.014766352344588441,64.507095,0.09736876,corredor
2024-04-06,-0.40693498,-0.21863021,-0.23979437,-0.28119156,-0.22938769,-0.21804051,-0.129893,-0.22921228,-0.17396677,-0.05524553,0.006573384987569362,148.19374,0.043562412,corredor
2024-04-07,-0.35914674,-0.24768817,-0.25999618,-0.33265316,-0.259872,-0.24652636,-0.21951115,-0.25384218,-0.23301877,-0.020823397,0.04800006756470182,272.0842,0.1520033,corredor
2024-04-08,-0.25422502,-0.38099435,-0.3580104,-0.44600627,-0.45445734,-0.464735,-0.45537424,-0.36950237,-0.46005464,0.09055225,0.02153276829883257,156.00496,0.16599438,corredor
2024-04-09,-0.20528679,-0.23704743,-0.3362111,-0.4676149,-0.3102326,-0.34820276,-0.33980143,-0.28662926,-0.3440021,0.057372846,0.004857444362704849,81.14836,0.08918677,corredor
2024-04-10,-0.3758754,-0.16746151,-0.28063944,-0.36007306,-0.39376366,-0.20347524,-0.08996594,-0.22405048,-0.14672059,-0.07732989,0.020440842837589002,86.068054,0.09977216,corredor
