data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-08-01,-0.37408495,-0.06616915,-0.085562795,-0.46184728,-0.17533234,-0.25446898,-0.21657845,-0.07586597,-0.23552372,0.15965775,2.8974860019833785e-05,283.36154,0.0034588506,corredor
2024-08-02,-0.4107263,-0.044066243,-0.2897556,-0.33691692,-0.22969563,-0.20807503,-0.2804402,-0.16691092,-0.24425763,0.07734671,0.0,326.27448,0.0044588596,corredor
2024-08-03,-0.40151694,-0.07117055,-0.40653905,-0.49763998,-0.17350088,-0.20651175,-0.28625146,-0.2388548,-0.24638161,0.007526815,0.0074871487513886465,395.05017,0.014992775,corredor
2024-08-04,-0.45912352,-0.16951036,-0.18976784,-0.43984574,-0.23301992,-0.2099902,-0.31263438,-0.1796391,-0.2613123,0.081673205,0.054611771243119125,321.0183,0.10877163,corredor
2024-08-05,-0.37287062,-0.15737236,-0.24985999,-0.27681765,-0.20630337,-0.22317338,-0.33225328,-0.20361617,-0.27771333,0.07409717,0.0439087274853741,307.975,0.094654515,corredor
2024-08-06,-0.35457298,-0.048269052,-0.21414028,-0.2316599,-0.15374584,-0.25948197,-0.32057193,-0.13120466,-0.29002696,0.15882228,0.021974129538669573,357.67984,0.036521,corredor
2024-08-07,-0.3753089,-0.17459902,-0.34838396,-0.33206052,-0.28388658,-0.23085779,-0.28336057,-0.26149148,-0.25710917,-0.004382316,0.07444283927464732,381.27972,0.18273814,corredor
2024-08-08,-0.34785205,-0.35371506,-0.36215734,-0.26913124,-0.19617969,-0.22782165,-0.51418376,-0.3579362,-0.3710027,0.0130665,0.043998931390676156,257.1319,0.23871648,corredor
2024-08-09,-0.1149853,-0.47305533,-0.38807708,-0.33829156,-0.16300245,-0.40829945,-1.1532401,-0.4305662,-0.7807697,0.35020354,0.08730572300498707,156.25905,0.1464703,corredor
2024-08-10,-0.08628705,-0.5610784,-0.31804338,-0.3229505,-0.44650578,-0.7278023,-1.4735081,-0.43956092,-1.1006552,0.6610943,0.029939037793974402,43.481182,0.03873935,corredor
2024-08-11,-0.35535496,-0.40983352,-0.19164705,-0.14427115,-0.14840539,-0.23566027,-0.5043703,-0.3007403,-0.37001526,0.06927498,1.0781343263193968e-06,46.06728,0.00094823283,corredor
2024-08-12,-0.12021536,-0.34041774,-0.34906876,-0.24426687,-0.18032482,-0.19217668,-0.5143183,-0.34474325,-0.3532475,0.008504238,0.000806601704009497,93.38002,0.0010073,corredor
2024-08-13,-0.3473589,-0.6039193,-0.26620513,-0.28454912,-0.22870617,-0.20578131,-0.43750063,-0.43506223,-0.32164097,-0.11342128,4.356336512284313e-05,24.071531,4.2782125e-05,corredor
2024-08-14,-0.48788026,-0.42211914,-0.28127295,-0.3391074,-0.22611564,-0.35973954,-1.0127132,-0.351696,-0.68622637,0.33453035,3.3332319588708015e-05,56.64196,4.902436e-05,corredor
2024-08-15,-0.63078904,-0.16730523,-0.31969175,-0.42373565,-0.2844202,-0.2213872,-0.30370453,-0.24349849,-0.26254585,0.019047365,0.0010056297928744175,132.55887,0.0013131017,corredor
2024-08-16,-0.6853001,-0.06913747,-0.20868145,-0.36594546,-0.098457955,-0.044968992,-0.05257906,-0.13890946,-0.048774026,-0.09013544,0.0008650680300805258,199.04141,0.004546775,corredor
2024-08-17,-0.76404357,-0.11529937,-0.14735314,-0.282865,-0.15678024,-0.10107015,-0.045390956,-0.13132626,-0.07323055,-0.05809571,0.011543000242475022,263.81824,0.01978227,corredor
2024-08-18,-0.6052181,-0.072039105,-0.13472696,-0.24968061,-0.14815226,-0.08173594,0.006378852,-0.103383034,-0.037678543,-0.06570449,0.004639212006152365,246.05618,0.012693074,corredor
