data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-04-01,-0.1258242,-0.12165049,-0.12440831,-0.09189892,-0.12277017,-0.13439786,-0.08965835,-0.1230294,-0.11202811,-0.011001298,0.03201925573229425,181.73009,0.09145487,fogo
2024-04-02,-0.1134864,-0.11172698,-0.11584434,-0.09693412,-0.14685673,-0.1500806,-0.08847466,-0.113785654,-0.119277634,0.0054919757,0.028206356779153997,122.95917,0.07904579,fogo
2024-04-03,-0.14201753,-0.14737092,-0.1292828,-0.104830965,-0.14337787,-0.1519142,-0.09491266,-0.13832687,-0.12341343,-0.014913434,0.022228637193250727,149.00269,0.07856898,fogo
2024-04-04,-0.13449675,-0.13599326,-0.14137685,-0.10256241,-0.13711634,-0.15535384,-0.09095816,-0.13868505,-0.123156,-0.01552905,0.0272420957268387,184.17476,0.08285691,fogo
2024-04-05,-0.08779391,-0.09252155,-0.11329875,-0.116082065,-0.14796576,-0.14966519,-0.09065751,-0.102910146,-0.12016135,0.0172512,0.04516942016116507,205.495,0.12088093,fogo
2024-04-06,-0.089873,-0.08916221,-0.115157746,-0.12886104,-0.1857308,-0.15815187,-0.117332675,-0.10215998,-0.13774227,0.035582297,0.04860643524233445,207.73413,0.1326922,fogo
2024-04-07,-0.11648878,-0.11103623,-0.12792511,-0.117040984,-0.17511128,-0.15037665,-0.11211373,-0.11948067,-0.1312452,0.011764523,0.040641782869140955,188.01733,0.11556016,fogo
2024-04-08,-0.089858025,-0.100235865,-0.11538875,-0.11391762,-0.15014279,-0.14317565,-0.10427067,-0.10781231,-0.12372316,0.01591085,0.0341601193854416,132.23479,0.1136194,fogo
2024-04-09,-0.1210068,-0.12620924,-0.1487379,-0.13018423,-0.15327221,-0.14535737,-0.0882198,-0.13747357,-0.11678858,-0.020684991,0.03202609757250475,130.99344,0.112955965,fogo
2024-04-10,-0.1177641,-0.1222697,-0.15262389,-0.12303176,-0.15164146,-0.14652503,-0.0964381,-0.13744679,-0.12148157,-0.015965229,0.0444808393198204,164.17625,0.119768865,fogo
2024-04-11,-0.0871465,-0.09703643,-0.11929382,-0.10722972,-0.1444632,-0.14791325,-0.108341046,-0.10816512,-0.12812714,0.019962022,0.049090393210101,159.9802,0.131773,fogo
2024-04-12,-0.08365074,-0.09450337,-0.10506039,-0.10309216,-0.14768992,-0.14598097,-0.093632415,-0.099781886,-0.11980669,0.02002481,0.056291389983903824,117.125854,0.16142316,fogo
2024-04-13,-0.1320527,-0.13498607,-0.14316036,-0.11358303,-0.14818439,-0.13027507,-0.07378509,-0.13907321,-0.10203008,-0.03704313,0.05868949080986968,128.7207,0.15916353,fogo
