data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-08-01,-0.25090066,-0.20632432,-0.19298711,-0.19098613,-0.08171705,-0.043824997,-0.023130108,-0.19965571,-0.033477552,-0.16617817,0.003857263417943224,144.11691,0.042613655,fogo
2024-08-02,-0.20551604,-0.1559928,-0.15797038,-0.20550904,-0.07655853,-0.06552315,-0.05449959,-0.15698159,-0.060011365,-0.09697023,0.007142434331286406,124.535736,0.052595098,fogo
2024-08-03,-0.21026365,-0.1660571,-0.17136374,-0.14214565,-0.07572392,-0.06271016,-0.12072898,-0.16871041,-0.09171957,-0.07699084,0.005425170378417115,127.21208,0.043502767,fogo
2024-08-04,-0.17205495,-0.13487595,-0.19121528,-0.13267677,-0.07434332,-0.052766103,-0.10812701,-0.16304561,-0.080446556,-0.08259906,0.009440921673472883,105.79929,0.045984924,fogo
2024-08-05,-0.16565393,-0.122009605,-0.21622287,-0.12746044,-0.06452733,-0.0498442,-0.09207102,-0.16911623,-0.07095761,-0.09815862,0.006226192626991881,128.79228,0.03143539,fogo
2024-08-06,-0.122225486,-0.078250766,-0.216804,-0.096059114,-0.055455368,-0.051623665,-0.058522224,-0.14752738,-0.055072945,-0.09245444,0.0029650503576411852,125.86338,0.029787075,fogo
2024-08-07,-0.09790338,-0.056098983,-0.17115456,-0.07952639,-0.0704536,-0.046892542,-0.023829443,-0.11362677,-0.035360992,-0.07826578,0.0027743219420629356,105.66228,0.04113852,fogo
2024-08-08,-0.12912244,-0.1110636,-0.18402351,-0.09241549,-0.078541845,-0.053820983,-0.005552792,-0.14754356,-0.029686887,-0.117856674,0.008397606382422308,70.62581,0.06701719,fogo
2024-08-09,-0.13792321,-0.101959705,-0.16025305,-0.08891345,-0.052938312,-0.045166817,-0.0051388,-0.13110638,-0.025152808,-0.10595357,0.01937281599253749,70.84474,0.120168366,fogo
2024-08-10,-0.2200322,-0.21073434,-0.2087088,-0.10491161,-0.04318493,-0.050172754,-0.0031868042,-0.20972157,-0.02667978,-0.1830418,0.020626575833894885,112.40677,0.082499154,fogo
2024-08-11,-0.23924834,-0.25328535,-0.20162252,-0.11673936,-0.05448879,-0.025878884,-0.0007503175,-0.22745392,-0.013314601,-0.21413931,0.010102265836074487,87.30943,0.04407168,fogo
2024-08-12,-0.13435142,-0.14881901,-0.16267815,-0.16131945,-0.051360067,-0.017584119,0.011438948,-0.15574859,-0.003072585,-0.152676,0.009101725746882113,95.11465,0.044928476,fogo
2024-08-13,-0.18449156,-0.15954752,-0.16282555,-0.13420805,-0.06013842,-0.017049305,0.016140848,-0.16118655,-0.00045422767,-0.16073231,0.00262862404843692,131.54205,0.035123937,fogo
2024-08-14,-0.2092667,-0.15436816,-0.14298461,-0.09592791,-0.074559405,-0.058656596,-0.02851777,-0.1486764,-0.043587178,-0.10508921,0.009869289162585237,126.69731,0.052993104,fogo
2024-08-15,-0.2994017,-0.22984573,-0.19778351,-0.1011835,-0.09801794,-0.106060766,-0.09180838,-0.21381463,-0.098934576,-0.114880055,0.009644001655173585,147.53143,0.052489877,fogo
2024-08-16,-0.24178389,-0.17882091,-0.17451814,-0.09785569,-0.16717175,-0.08995395,-0.0903319,-0.17666952,-0.09014292,-0.0865266,0.012519041555529234,140.04973,0.052776344,fogo
2024-08-17,-0.1851832,-0.13202485,-0.16458902,-0.0905115,-0.18058084,-0.12657158,-0.08233687,-0.14830694,-0.10445423,-0.043852706,0.014134499937798781,127.80596,0.04309039,fogo
2024-08-18,-0.1842032,-0.12140888,-0.13393371,-0.1426357,-0.13302553,-0.16446355,-0.090403125,-0.1276713,-0.12743333,-0.00023796037,0.008470240336104856,106.98189,0.048681617,fogo
2024-08-19,-0.18674283,-0.13240354,-0.1753073,-0.16223267,-0.0972313,-0.13539532,-0.07568489,-0.15385543,-0.10554011,-0.048315316,0.0018867712818057551,108.243195,0.03388021,fogo
2024-08-20,-0.13111094,-0.087058395,-0.13651082,-0.14026102,-0.08745978,-0.06983766,-0.06684799,-0.1117846,-0.06834283,-0.043441772,0.004167578600675655,114.29953,0.050366275,fogo
2024-08-21,-0.113049015,-0.064267315,-0.14237589,-0.1242082,-0.11285083,-0.045284957,-0.051376943,-0.103321604,-0.048330948,-0.054990653,0.00904551136659443,130.9018,0.042946294,fogo
2024-08-22,-0.10870404,-0.0647921,-0.13804413,-0.10954233,-0.09383696,-0.055436336,-0.020633865,-0.101418115,-0.038035102,-0.06338301,0.006848897043832939,135.27429,0.037309628,fogo
