data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-04-01,-0.1019244,-0.10022025,-0.14168337,-0.14334255,-0.21405265,-0.20232743,-0.14066981,-0.12095181,-0.17149861,0.050546806,0.021801949729122617,106.71333,0.06394686,rio_invisivel
2024-04-02,-0.12041122,-0.117128626,-0.16420104,-0.17352194,-0.24053654,-0.23461476,-0.16980496,-0.14066483,-0.20220986,0.061545033,0.030700801826087698,110.25464,0.08069819,rio_invisivel
2024-04-03,-0.103160255,-0.13265756,-0.17829902,-0.20493916,-0.26013303,-0.27318192,-0.20740715,-0.15547828,-0.24029453,0.08481625,0.017270563467960437,104.9456,0.055283837,rio_invisivel
2024-04-04,-0.087382495,-0.11222614,-0.21059872,-0.20330842,-0.28084916,-0.2787998,-0.1191221,-0.16141243,-0.19896095,0.037548516,0.018490223980526254,121.75928,0.058182083,rio_invisivel
2024-04-05,-0.111395776,-0.13870285,-0.19863045,-0.23350331,-0.31802619,-0.27218342,-0.14574176,-0.16866666,-0.20896259,0.040295932,0.03524579866322479,120.52778,0.08904786,rio_invisivel
2024-04-06,-0.11940192,-0.12765372,-0.2091129,-0.22818772,-0.32225794,-0.23339567,-0.19629541,-0.1683833,-0.21484554,0.046462234,0.03553436701682136,186.63348,0.09886655,rio_invisivel
2024-04-07,-0.12773299,-0.1295867,-0.20588349,-0.22088921,-0.28865612,-0.22074462,-0.16197412,-0.1677351,-0.19135937,0.023624271,0.04311200740797105,226.64589,0.1222287,rio_invisivel
2024-04-08,-0.12627272,-0.16145138,-0.21042082,-0.19561402,-0.23583718,-0.21427022,-0.14560586,-0.1859361,-0.17993805,-0.00599806,0.04525913864022232,100.51776,0.14039367,rio_invisivel
2024-04-09,-0.11495731,-0.13465104,-0.20338711,-0.19613412,-0.2338643,-0.2492578,-0.14338973,-0.16901907,-0.19632377,0.027304698,0.030674284842887513,118.9035,0.10077628,rio_invisivel
2024-04-10,-0.123867415,-0.14373872,-0.19875766,-0.19595137,-0.27725008,-0.26912656,-0.15320641,-0.1712482,-0.21116647,0.03991829,0.04447248155135485,117.89735,0.11644314,rio_invisivel
2024-04-11,-0.1464236,-0.17548911,-0.21175933,-0.19363534,-0.28603435,-0.27810764,-0.1975929,-0.19362421,-0.23785028,0.044226054,0.04505186153899324,103.62262,0.13087294,rio_invisivel
2024-04-12,-0.15464991,-0.17615819,-0.2129885,-0.1953909,-0.30261782,-0.28971398,-0.17683065,-0.19457334,-0.2332723,0.038698953,0.05166216519967509,67.52336,0.1643565,rio_invisivel
2024-04-13,-0.1347138,-0.16521282,-0.20794992,-0.20781377,-0.29923958,-0.26207092,-0.12809826,-0.18658137,-0.1950846,0.008503232,0.04595544081895925,151.84692,0.13104425,rio_invisivel
2024-04-14,-0.12163995,-0.14535677,-0.19414455,-0.17808716,-0.25804484,-0.23701,-0.12490739,-0.16975066,-0.1809587,0.011208046,0.04842832051478733,245.85535,0.14736138,rio_invisivel
2024-04-15,-0.116305545,-0.13383105,-0.19120824,-0.15641907,-0.22814058,-0.2082453,-0.1312991,-0.16251965,-0.16977221,0.0072525553,0.0398480243005993,296.23706,0.14098443,rio_invisivel
2024-04-16,-0.12594333,-0.12445925,-0.17838086,-0.1491709,-0.22994615,-0.20836475,-0.13438782,-0.15142006,-0.17137629,0.019956239,0.029065822584992698,251.95114,0.12904254,rio_invisivel
2024-04-17,-0.15795451,-0.17034996,-0.19845448,-0.20500283,-0.22375306,-0.19726351,-0.14450917,-0.18440223,-0.17088634,-0.013515875,0.02491886216335827,125.10028,0.11624199,rio_invisivel
2024-04-18,-0.18785597,-0.1999308,-0.18728645,-0.24697152,-0.22061189,-0.19985859,-0.14957616,-0.19360863,-0.17471737,-0.018891264,0.008811776601297094,194.55743,0.07160574,rio_invisivel
2024-04-19,-0.14763317,-0.19172594,-0.17166036,-0.21446216,-0.24981147,-0.21589027,-0.16023205,-0.18169315,-0.18806115,0.006368,0.010129910083721268,165.74942,0.048505396,rio_invisivel
2024-04-20,-0.11517044,-0.13895509,-0.16086377,-0.19560045,-0.24650373,-0.20705362,-0.2165504,-0.14990942,-0.211802,0.061892584,0.01205507726653698,175.48277,0.046579342,rio_invisivel
2024-04-21,-0.10346742,-0.094886675,-0.1588999,-0.1860915,-0.24329096,-0.20321387,-0.23773426,-0.12689328,-0.22047406,0.093580775,0.019329904976240528,205.5689,0.061469488,rio_invisivel
2024-04-22,-0.09814576,-0.09767779,-0.18681347,-0.18638712,-0.25701302,-0.24421841,-0.19725232,-0.14224562,-0.22073537,0.078489736,0.013092669919110313,196.62234,0.05379875,rio_invisivel
2024-04-23,-0.08608201,-0.083111405,-0.19440188,-0.18229781,-0.24998012,-0.21357891,-0.15149388,-0.13875663,-0.1825364,0.043779753,0.010769697690523963,147.05074,0.043322828,rio_invisivel
2024-04-24,-0.08809544,-0.08980888,-0.16076735,-0.21600336,-0.24909343,-0.18552063,-0.15736179,-0.12528811,-0.17144121,0.0461531,0.01870813402987468,102.63279,0.06520444,rio_invisivel
2024-04-25,-0.10775297,-0.088351496,-0.15626426,-0.22569819,-0.23539482,-0.21309018,-0.17650068,-0.12230788,-0.19479543,0.072487555,0.017122597494556965,122.59575,0.05095006,rio_invisivel
2024-04-26,-0.09787513,-0.08175626,-0.1637436,-0.28647086,-0.22538948,-0.17085719,-0.20807526,-0.12274993,-0.18946622,0.06671628,0.012008431116651067,192.15158,0.04545704,rio_invisivel
2024-04-27,-0.09838705,-0.093044505,-0.17536594,-0.23728952,-0.17919907,-0.13650519,-0.20591603,-0.13420522,-0.17121062,0.037005395,0.013924916904739251,229.4829,0.053925134,rio_invisivel
2024-04-28,-0.0921921,-0.08497274,-0.16338731,-0.21514948,-0.16444768,-0.12914307,-0.19707526,-0.12418003,-0.16310917,0.038929142,0.013171436223532718,165.96823,0.05175417,rio_invisivel
2024-04-29,-0.10264965,-0.08628847,-0.13471876,-0.19664426,-0.18485096,-0.15746778,-0.19210416,-0.110503614,-0.17478597,0.06428236,0.008100998724978572,268.4418,0.03986583,rio_invisivel
2024-04-30,-0.08248142,-0.09559393,-0.15865025,-0.20381856,-0.1820539,-0.15372834,-0.1255976,-0.12712209,-0.13966295,0.012540869,0.0033789839237391745,272.08264,0.03191342,rio_invisivel
2024-05-01,-0.073975444,-0.08100368,-0.1680582,-0.22363588,-0.1674057,-0.14104882,-0.095778756,-0.12453094,-0.11841378,-0.006117152,0.0002469620400472666,241.15244,0.029256236,rio_invisivel
2024-05-02,-0.07593166,-0.083849594,-0.2294923,-0.20576519,-0.17212147,-0.10931463,-0.12470634,-0.15667094,-0.11701049,-0.03966046,0.0005367777782860344,214.39226,0.032223023,rio_invisivel
2024-05-03,-0.076297715,-0.09244877,-0.24644306,-0.19787492,-0.19287093,-0.16900928,-0.12667742,-0.16944592,-0.14784336,-0.021602556,0.00035952844445170294,133.32529,0.06781545,rio_invisivel
2024-05-04,-0.0743172,-0.06715179,-0.26910436,-0.16808698,-0.21687008,-0.22186644,-0.12624651,-0.16812809,-0.17405649,0.005928397,0.0014167875242467219,173.45332,0.043847356,rio_invisivel
2024-05-05,-0.07644058,-0.050007783,-0.22306415,-0.1608569,-0.27946937,-0.16351373,-0.07464373,-0.13653597,-0.11907874,-0.017457232,0.0007435619613903768,182.89536,0.029443445,rio_invisivel
2024-05-06,-0.08488824,-0.060998376,-0.25961924,-0.15917127,-0.28217626,-0.11625842,-0.050147995,-0.16030881,-0.08320321,-0.0771056,0.0004513520494028821,202.09474,0.020346705,rio_invisivel
2024-05-07,-0.073024005,-0.06851105,-0.22509749,-0.24065396,-0.21368445,-0.15721524,-0.053045988,-0.14680427,-0.10513061,-0.041673657,0.0005576815305963487,193.94762,0.027832707,rio_invisivel
2024-05-08,-0.08087463,-0.092893966,-0.19369,-0.25763768,-0.1957763,-0.12467101,-0.06248022,-0.14329198,-0.09357562,-0.04971636,0.0005659303645205346,189.03738,0.02370669,rio_invisivel
2024-05-09,-0.088533364,-0.101637855,-0.20956616,-0.230097,-0.23507902,-0.0893239,-0.031496074,-0.15560201,-0.06040999,-0.095192015,0.0010148480019604251,98.20883,0.08319662,rio_invisivel
2024-05-10,-0.088639595,-0.049098004,-0.21909586,-0.24305348,-0.22436495,-0.035953052,-0.029662805,-0.13409692,-0.032807928,-0.101289,5.432158925683256e-07,146.79086,0.0181656,rio_invisivel
2024-05-11,-0.07965674,-0.051293492,-0.24005093,-0.25837445,-0.15423775,-0.04190466,-0.07550135,-0.1456722,-0.058703005,-0.0869692,1.6034928384331687e-05,127.70926,0.040464062,rio_invisivel
2024-05-12,-0.09134434,-0.056595124,-0.20223737,-0.27919346,-0.13008475,-0.03766527,-0.0617943,-0.12941626,-0.049729787,-0.07968646,0.00010695317351456367,116.21072,0.039631724,rio_invisivel
2024-05-13,-0.09720626,-0.08036415,-0.20168556,-0.23551716,-0.09676061,-0.04498303,-0.05840604,-0.14102486,-0.051694535,-0.089330316,0.0005291123984686812,107.458405,0.10049877,rio_invisivel
2024-05-14,-0.13745643,-0.13999298,-0.20796734,-0.21385801,-0.09529564,-0.06569318,-0.08015428,-0.17398016,-0.07292373,-0.101056434,0.001781647532088447,16.90761,0.1664055,rio_invisivel
2024-05-15,-0.22238532,-0.1538867,-0.18193862,-0.20682798,-0.11002106,-0.12679839,-0.06615877,-0.16791266,-0.09647858,-0.07143408,0.00014271488644197842,61.726097,0.09435651,rio_invisivel
2024-05-16,-0.12421532,-0.123648085,-0.1435773,-0.20481963,-0.1440424,-0.18632989,-0.0548421,-0.13361269,-0.12058599,-0.013026688,0.002463262762618903,166.48997,0.031266265,rio_invisivel
2024-05-17,-0.10189747,-0.0800353,-0.16955453,-0.17273816,-0.15249585,-0.16753323,-0.09742692,-0.124794915,-0.13248008,0.0076851696,0.00702842900465598,173.15074,0.069855295,rio_invisivel
2024-05-18,-0.13748345,-0.069140844,-0.18071374,-0.15588303,-0.17497596,-0.14136475,-0.022594746,-0.1249273,-0.081979744,-0.042947546,0.002976682257524499,91.34456,0.09055839,rio_invisivel
2024-05-19,-0.20707722,-0.10058059,-0.23342605,-0.18900266,-0.19558373,-0.12724653,-0.04635366,-0.16700332,-0.0868001,-0.08020322,0.0024329633872778697,39.986767,0.103163436,rio_invisivel
2024-05-20,-0.19704305,-0.113514416,-0.22368757,-0.21172401,-0.20254935,-0.12717031,-0.12842792,-0.168601,-0.12779911,-0.040801886,0.000648760728583638,100.03437,0.029577801,rio_invisivel
2024-05-21,-0.10504696,-0.092943154,-0.16360316,-0.17977262,-0.21367663,-0.1039304,-0.10198475,-0.12827316,-0.10295757,-0.02531558,0.0009916707905441766,187.32352,0.021684492,rio_invisivel
2024-05-22,-0.083988704,-0.05404673,-0.1951356,-0.16929042,-0.20130785,-0.12428461,-0.11282723,-0.124591164,-0.11855592,-0.006035248,0.00019111139864838982,220.75877,0.031378783,rio_invisivel
2024-05-23,-0.09569415,-0.04746884,-0.20439194,-0.13184111,-0.16913605,-0.11814153,-0.083586484,-0.1259304,-0.10086401,-0.025066385,0.0007456141103178572,238.92535,0.042687148,rio_invisivel
2024-05-24,-0.090929486,-0.114345424,-0.19846864,-0.12240387,-0.103720024,-0.1296221,-0.10197814,-0.15640703,-0.11580013,-0.0406069,0.0033873735914132846,152.61922,0.105176404,rio_invisivel
2024-05-25,-0.15000743,-0.2456206,-0.2070172,-0.1793922,-0.12988558,-0.11462073,-0.052899115,-0.2263189,-0.08375992,-0.14255896,0.0029070349384097433,49.62784,0.14074922,rio_invisivel
2024-05-26,-0.1843392,-0.2510741,-0.23761705,-0.14781982,-0.15870553,-0.10853135,-0.062463723,-0.24434558,-0.085497536,-0.15884805,0.007684834993949838,39.627457,0.15398808,rio_invisivel
2024-05-27,-0.16294917,-0.16516061,-0.22133127,-0.14174944,-0.15284169,-0.13094221,-0.044878487,-0.19324595,-0.087910354,-0.10533559,0.008989901116291672,53.131813,0.114078164,rio_invisivel
2024-05-28,-0.18333341,-0.23158278,-0.22880751,-0.18926203,-0.15328099,-0.12922278,-0.115664884,-0.23019513,-0.122443825,-0.1077513,0.0039021410664967365,48.20892,0.07100463,rio_invisivel
2024-05-29,-0.15371771,-0.2613626,-0.18261783,-0.22783904,-0.15422548,-0.12604214,-0.14469203,-0.22199021,-0.1353671,-0.08662313,0.00012077500011435774,58.26496,0.01042792,rio_invisivel
2024-05-30,-0.10921286,-0.17639667,-0.21485597,-0.21635419,-0.15818554,-0.114207074,-0.10921699,-0.19562632,-0.11171202,-0.083914295,8.77193070962185e-06,53.569168,0.0063126683,rio_invisivel
