data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-08-01,-0.103522934,-0.038541578,-0.07546444,-0.42511415,-0.14241636,-0.09199427,-0.066633224,-0.05700301,-0.07931374,0.022310734,0.002950970038609599,155.82922,0.0196321,rio_invisivel
2024-08-02,-0.09923819,-0.03288012,-0.10279857,-0.45981735,-0.12796381,-0.1260817,-0.11006826,-0.06783935,-0.11807498,0.050235633,4.343715229833388e-05,168.15865,0.018125627,rio_invisivel
2024-08-03,-0.093914926,-0.03960415,-0.1629817,-0.29851934,-0.13050681,-0.11823352,-0.28199625,-0.10129292,-0.20011488,0.09882195,3.162723641175585e-05,183.626,0.013055788,rio_invisivel
2024-08-04,-0.08665599,-0.023753991,-0.18125074,-0.26028195,-0.11969814,-0.109622985,-0.2504056,-0.10250237,-0.18001428,0.07751192,0.004282512905937358,117.266495,0.029449796,rio_invisivel
2024-08-05,-0.08473385,-0.014682478,-0.27893645,-0.23146787,-0.09186433,-0.10965197,-0.23006365,-0.14680946,-0.1698578,0.023048349,0.000909081855766659,116.202255,0.013278129,rio_invisivel
2024-08-06,-0.08780915,-0.011817116,-0.44217125,-0.19361813,-0.07482239,-0.0939206,-0.18813197,-0.22699419,-0.14102629,-0.0859679,0.00045350479386602324,148.50816,0.0076056626,rio_invisivel
2024-08-07,-0.0912365,-0.036729258,-0.38346693,-0.15758361,-0.081570454,-0.06330312,-0.07552904,-0.21009809,-0.06941608,-0.14068201,0.001933969292186032,166.08304,0.020933496,rio_invisivel
2024-08-08,-0.12871799,-0.056546543,-0.23915401,-0.13861579,-0.13134608,-0.07055464,-0.04570324,-0.14785028,-0.058128938,-0.08972134,0.010970506498810054,123.44725,0.0850077,rio_invisivel
2024-08-09,-0.19806857,-0.12156142,-0.19695505,-0.16674842,-0.11755566,-0.08142814,-0.036884375,-0.15925823,-0.059156258,-0.10010198,0.032332270282988136,90.38728,0.16395792,rio_invisivel
2024-08-10,-0.19088435,-0.26870847,-0.21696141,-0.17707972,-0.080899626,-0.072515264,-0.007491378,-0.24283493,-0.040003322,-0.20283161,0.017126430184465642,73.689064,0.06475593,rio_invisivel
2024-08-11,-0.118034266,-0.22036907,-0.1745521,-0.16876006,-0.085514344,-0.057090268,0.006770626,-0.19746058,-0.02515982,-0.17230076,4.225012497753644e-07,20.316795,5.8388483e-05,rio_invisivel
2024-08-12,-0.124579266,-0.17163926,-0.16079204,-0.20603639,-0.10014585,-0.08708575,0.01564598,-0.16621564,-0.035719886,-0.13049576,7.140271121203656e-05,54.489143,0.0024866397,rio_invisivel
2024-08-13,-0.16637145,-0.17570134,-0.16306359,-0.1913804,-0.11000487,-0.04992012,0.0047587194,-0.16938245,-0.0225807,-0.14680177,2.8428298377742374e-05,39.41584,0.0010147878,rio_invisivel
2024-08-14,-0.121265665,-0.0657729,-0.14240046,-0.14441104,-0.09255588,-0.09913395,-0.19272123,-0.104086675,-0.1459276,0.04184091,0.0021539516095690717,60.66922,0.0078015826,rio_invisivel
2024-08-15,-0.12001676,-0.04740001,-0.09464697,-0.13450858,-0.14165747,-0.25378865,-0.2566286,-0.07102349,-0.25520864,0.18418515,0.003106530974955461,99.72662,0.01939498,rio_invisivel
2024-08-16,-0.092527166,-0.033248357,-0.08796106,-0.12431683,-0.27098408,-0.1544826,-0.22283159,-0.06060471,-0.1886571,0.1280524,0.011234066802241354,111.10504,0.042215675,rio_invisivel
2024-08-17,-0.087083384,-0.020273522,-0.121144235,-0.11313552,-0.30972022,-0.2369015,-0.15198414,-0.07070888,-0.19444282,0.123733945,0.018596996082076628,109.29939,0.03287072,rio_invisivel
2024-08-18,-0.097578,-0.02311381,-0.10274868,-0.22335319,-0.2661535,-0.2189846,-0.12055363,-0.06293124,-0.16976911,0.10683787,0.006076493450697819,117.84709,0.0249381,rio_invisivel
2024-08-19,-0.10371972,-0.022227604,-0.1375845,-0.2578861,-0.21042843,-0.22106068,-0.051784806,-0.07990605,-0.13642275,0.0565167,0.0019043740855946246,121.054474,0.015435177,rio_invisivel
2024-08-20,-0.10045236,-0.017204667,-0.12401919,-0.19444591,-0.14397539,-0.11429721,-0.04209135,-0.07061193,-0.07819428,0.0075823506,0.0015853051655856957,94.78708,0.021868378,rio_invisivel
2024-08-21,-0.12077223,-0.018302616,-0.22335161,-0.16376926,-0.14939374,-0.05191573,-0.050204027,-0.120827116,-0.05105988,-0.06976724,0.00011353212154678006,147.01376,0.0046275044,rio_invisivel
2024-08-22,-0.10997282,-0.026188672,-0.22843552,-0.1827507,-0.1973048,-0.05391477,-0.06576257,-0.1273121,-0.05983867,-0.06747343,0.00011590617618837496,165.67569,0.015978504,rio_invisivel
2024-08-23,-0.1483683,-0.055508655,-0.11785512,-0.19841167,-0.18588117,-0.047678456,-0.035281662,-0.08668189,-0.04148006,-0.045201823,0.0024283158735303404,139.51141,0.044942155,rio_invisivel
2024-08-24,-0.13269712,-0.07387475,-0.11942322,-0.20074363,-0.1805467,-0.052929398,-0.04274131,-0.09664898,-0.047835354,-0.04881363,0.02134114169936762,90.05662,0.0938828,rio_invisivel
2024-08-25,-0.18355313,-0.18661363,-0.14234915,-0.22542721,-0.17505652,-0.056232106,-0.04795851,-0.16448139,-0.05209531,-0.112386085,0.07028859553548607,43.398563,0.14910926,rio_invisivel
2024-08-26,-0.24144217,-0.23091722,-0.17395344,-0.28145662,-0.107328236,-0.016774029,-0.038878858,-0.20243534,-0.027826443,-0.17460889,0.010239237311877428,54.25347,0.019687152,rio_invisivel
2024-08-27,-0.1411072,-0.11655679,-0.12898088,-0.28833506,-0.083281055,-0.021200532,-0.06392806,-0.122768834,-0.042564295,-0.08020454,0.0006849147641001299,33.724403,0.0030845255,rio_invisivel
2024-08-28,-0.14250836,-0.03899018,-0.098459415,-0.23932861,-0.087892756,-0.061948493,-0.05613159,-0.068724796,-0.059040044,-0.009684756,0.0006493039444762063,73.85259,0.0025404242,rio_invisivel
2024-08-29,-0.13557564,-0.011650527,-0.1515208,-0.15828893,-0.1309359,-0.10964294,-0.041491605,-0.08158567,-0.075567275,-0.0060183927,0.0012666788659336744,140.54378,0.011355029,rio_invisivel
2024-08-30,-0.10515453,-0.010225185,-0.20791602,-0.19933492,-0.122803845,-0.10390538,-0.03047655,-0.1090706,-0.06719097,-0.04187963,0.00021020443131680987,148.98622,0.009915248,rio_invisivel
2024-08-31,-0.10672665,-0.028600112,-0.16149262,-0.14820142,-0.103499286,-0.10113844,0.0007844508,-0.095046364,-0.050176997,-0.044869367,0.00014725174510028056,102.89617,0.0059203645,rio_invisivel
2024-09-01,-0.17286849,-0.052064992,-0.15142559,-0.1069945,-0.16182335,-0.1371744,-0.039751932,-0.101745285,-0.088463165,-0.01328212,0.0003559070051679141,64.4458,0.003989792,rio_invisivel
2024-09-02,-0.16822472,-0.04427301,-0.16447943,-0.17505997,-0.18391076,-0.1051093,-0.052972283,-0.10437623,-0.07904079,-0.025335435,4.8064546938730735e-05,81.609604,0.002062212,rio_invisivel
2024-09-03,-0.1336839,-0.037733324,-0.18752289,-0.17671666,-0.15349469,-0.1461174,-0.1387099,-0.1126281,-0.14241365,0.029785553,1.1226461779745395e-05,113.28947,0.007853284,rio_invisivel
2024-09-04,-0.10578418,-0.016545067,-0.15966669,-0.1656605,-0.12773445,-0.19154434,-0.17022493,-0.08810588,-0.18088464,0.092778765,0.00018785210329297984,96.36114,0.007799913,rio_invisivel
2024-09-05,-0.17924489,-0.06611617,-0.128394,-0.19409412,-0.119073346,-0.12912266,-0.16001824,-0.09725508,-0.14457044,0.047315367,0.0052831568182624775,41.309315,0.0215687,rio_invisivel
2024-09-06,-0.20631106,-0.089314006,-0.100386456,-0.15509745,-0.10894474,-0.13045473,-0.13879773,-0.09485023,-0.13462622,0.039775997,4.4342512119281094e-05,82.07596,0.00045239454,rio_invisivel
2024-09-07,-0.12888618,-0.03470754,-0.12845708,-0.14096847,-0.114669636,-0.12713581,-0.13467993,-0.08158231,-0.13090786,0.049325563,5.593111782740537e-06,116.95521,0.0004845638,rio_invisivel
2024-09-08,-0.10091065,-0.01513155,-0.11161536,-0.16772509,-0.13233712,-0.12214443,-0.104403675,-0.063373454,-0.11327405,0.049900595,7.126187746211146e-05,110.4709,0.0023570005,rio_invisivel
2024-09-09,-0.10222214,-0.014057241,-0.14797603,-0.16331506,-0.1627664,-0.08687359,-0.10544642,-0.08101664,-0.09616001,0.015143369,1.3459682671415179e-05,92.42411,0.004216166,rio_invisivel
2024-09-10,-0.10976053,-0.015423501,-0.19247715,-0.14758587,-0.16369626,-0.06829549,-0.19376521,-0.10395032,-0.13103035,0.027080024,5.733945532665659e-06,91.34233,0.0064005014,rio_invisivel
2024-09-11,-0.11680925,-0.028663466,-0.15893719,-0.18613087,-0.14164259,-0.08832365,-0.16776334,-0.09380033,-0.1280435,0.034243163,0.0005238411924000555,144.93445,0.011161968,rio_invisivel
2024-09-12,-0.10948452,-0.030876098,-0.09339473,-0.26814488,-0.076620646,-0.1274572,-0.13837194,-0.062135413,-0.13291457,0.07077916,0.0011718373949126714,143.44104,0.02836868,rio_invisivel
2024-09-13,-0.105097406,-0.031763867,-0.08152785,-0.27224526,-0.06915781,-0.16297099,-0.11901522,-0.05664586,-0.1409931,0.08434723,0.0019587761512799857,153.97726,0.02513383,rio_invisivel
2024-09-14,-0.12446659,-0.056830563,-0.08924058,-0.276376,-0.085602574,-0.16242257,-0.054763872,-0.07303557,-0.108593225,0.035557657,0.02061009382261345,112.56195,0.06201059,rio_invisivel
2024-09-15,-0.15324855,-0.11003043,-0.09050436,-0.23659925,-0.13079159,-0.17519346,-0.068597704,-0.100267395,-0.12189558,0.021628184,0.024813126195825205,78.75244,0.07177452,rio_invisivel
2024-09-16,-0.17224832,-0.12175019,-0.11388879,-0.20933564,-0.14550985,-0.18097714,-0.09991593,-0.11781949,-0.14044654,0.022627044,0.022711876587388827,47.169014,0.055498682,rio_invisivel
2024-09-17,-0.1435192,-0.10787922,-0.10359901,-0.18784256,-0.14015509,-0.14798956,-0.04094746,-0.10573912,-0.09446851,-0.011270606,0.005436041913359763,89.05278,0.024907405,rio_invisivel
2024-09-18,-0.15875344,-0.042926375,-0.07331358,-0.17417404,-0.1612035,-0.101491585,-0.02666211,-0.05811997,-0.06407685,0.0059568733,0.012555711068860088,138.29584,0.033994228,rio_invisivel
2024-09-19,-0.17525834,-0.04793863,-0.057882756,-0.12467554,-0.20215435,-0.13040766,-0.021708872,-0.052910693,-0.07605827,0.023147577,0.02184939058374025,219.60703,0.05590371,rio_invisivel
2024-09-20,-0.091965705,-0.04360967,-0.103144646,-0.13503611,-0.20029715,-0.13144673,-0.09111085,-0.07337716,-0.11127879,0.037901625,0.010060217496615466,220.272,0.03466097,rio_invisivel
2024-09-21,-0.11948248,-0.032927077,-0.09523518,-0.16453476,-0.21932365,-0.17534357,-0.14794727,-0.064081125,-0.16164541,0.097564295,0.014941595745448703,107.47867,0.04627627,rio_invisivel
2024-09-22,-0.1047533,-0.039186466,-0.06605171,-0.16691603,-0.25189343,-0.13492155,-0.12534755,-0.05261909,-0.13013455,0.07751547,0.0103134164598737,129.78711,0.031258747,rio_invisivel
2024-09-23,-0.11735442,-0.034567256,-0.07173309,-0.17683259,-0.28668338,-0.118384674,-0.09883922,-0.053150173,-0.10861195,0.05546177,0.02391741348674787,136.85541,0.050430845,rio_invisivel
