data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-04-01,-0.4107708,-0.22240955,-0.32130355,-0.46340263,-0.42302847,-0.40752423,-0.29485714,-0.27185655,-0.3511907,0.07933415,0.05199801626758217,137.11328,0.17596176,rs
2024-04-02,-0.29840013,-0.39159226,-0.34651658,-0.39566603,-0.38021624,-0.25864515,-0.34430838,-0.36905444,-0.30147675,-0.06757767,0.015523268664413671,201.89532,0.11065614,rs
2024-04-03,-0.21079992,-0.4190843,-0.27090013,-0.2584497,-0.28432903,-0.18248296,-0.21198234,-0.34499222,-0.19723265,-0.14775959,0.00823121935526132,171.68417,0.038712572,rs
2024-04-04,-0.37641767,-0.30305654,-0.28383356,-0.34937745,-0.2894985,-0.2938293,-0.236484,-0.29344505,-0.26515666,-0.028288394,0.0209043505021829,249.0385,0.119441226,rs
2024-04-05,-0.31281176,-0.23571552,-0.27360946,-0.33838677,-0.3913902,-0.35137442,-0.31342414,-0.2546625,-0.33239925,0.077736765,0.013355870384904172,125.30632,0.08561712,rs
2024-04-06,-0.26529935,-0.249466,-0.41333115,-0.41454646,-0.2421305,-0.34741116,-0.3026271,-0.33139858,-0.32501912,-0.0063794553,0.003215666124702056,83.61714,0.01937916,rs
2024-04-07,-0.37019712,-0.47489494,-0.49655473,-0.57146716,-0.5620211,-0.4947935,-0.5809284,-0.48572487,-0.537861,0.05213611,0.06603804200935631,200.14865,0.20364797,rs
2024-04-08,-0.30426332,-0.57237405,-0.56685644,-0.5818449,-0.42504665,-0.32201546,-0.5777418,-0.56961524,-0.44987863,-0.11973662,0.006557536764647223,69.37105,0.15970843,rs
2024-04-09,-0.26074335,-0.51547354,-0.54043317,-0.44825178,-0.35650626,-0.21845338,-0.20739117,-0.5279534,-0.21292228,-0.31503108,5.64181764731323e-05,98.67969,0.07818527,rs
2024-04-10,-0.2912715,-0.23295663,-0.426764,-0.33988023,-0.3187865,-0.26155126,-0.13876706,-0.32986033,-0.20015916,-0.12970115,0.015620244485821305,76.52724,0.1135907,rs
2024-04-11,-0.32584354,-0.4192223,-0.327024,-0.40770882,-0.32316422,-0.2064395,-0.08732561,-0.37312314,-0.14688255,-0.22624058,0.06565382063283297,62.05508,0.21791463,rs
2024-04-12,-0.3630606,-0.43297315,-0.38287163,-0.3367492,-0.327066,-0.12768462,-0.17134842,-0.4079224,-0.14951652,-0.25840586,0.02598680118898189,102.56041,0.20059651,rs
2024-04-13,-0.49379528,-0.40165424,-0.39798695,-0.4212409,-0.36928806,-0.18490818,-0.16654384,-0.39982057,-0.17572603,-0.22409457,0.06817895886567185,271.57916,0.2867275,rs
2024-04-14,-0.4633562,-0.4582752,-0.3869279,-0.4243909,-0.33374795,-0.13958213,-0.14161816,-0.42260155,-0.14060014,-0.2820014,0.04015164364948952,270.45868,0.27103674,rs
2024-04-15,-0.45953688,-0.40895867,-0.3719192,-0.42922458,-0.4797272,-0.3804713,-0.30020267,-0.39043894,-0.34033698,-0.050101966,0.045960025200336124,585.53845,0.20761132,rs
2024-04-16,-0.4183431,-0.5283103,-0.46751773,-0.44026083,-0.44228452,-0.46074486,-0.3934829,-0.49791402,-0.42711386,-0.07080017,0.07392588085680626,664.86194,0.34441727,rs
2024-04-17,-0.102547616,-0.45968682,-0.5797066,-0.54570085,-0.531613,-0.6300892,-1.0659821,-0.5196967,-0.8480357,0.328339,0.0028465122531404065,247.20317,0.06024593,rs
2024-04-18,-0.08683886,-0.17657652,-0.42576334,-0.425947,-0.38963398,-0.4120206,-0.71954846,-0.30116993,-0.5657845,0.2646146,8.666647590752251e-05,183.30167,0.0033947749,rs
2024-04-19,-0.25654316,-0.25552502,-0.30362442,-0.23546597,-0.37846646,-0.28942907,-0.30149215,-0.27957472,-0.2954606,0.015885904,0.0,72.31822,0.00025253082,rs
2024-04-20,-0.37598193,-0.37915865,-0.20052019,-0.26738185,-0.34897724,-0.2337435,-0.22116281,-0.28983942,-0.22745314,-0.062386267,0.0,60.315536,0.00014392039,rs
2024-04-21,-0.47303513,-0.42815632,-0.13182232,-0.46105707,-0.2261601,-0.22463909,-0.15920682,-0.27998933,-0.19192296,-0.08806637,0.003927464122253643,107.22532,0.0071873306,rs
2024-04-22,-0.53381413,-0.36475784,-0.23135218,-0.4190063,-0.3357812,-0.30555558,-0.21183972,-0.298055,-0.25869766,-0.03935735,0.03674211084910543,200.83517,0.08453299,rs
2024-04-23,-0.35743117,-0.35050485,-0.3456315,-0.32647902,-0.2707181,-0.3624478,-0.31668702,-0.34806818,-0.33956742,-0.00850077,0.017963921244431594,293.41492,0.14923765,rs
2024-04-24,-0.34625506,-0.34765768,-0.24694358,-0.20497966,-0.2359606,-0.32686764,-0.19334647,-0.2973006,-0.26010704,-0.037193555,0.020317850703786496,189.4604,0.10736442,rs
2024-04-25,-0.4021237,-0.42537636,-0.21099836,-0.2754549,-0.3091801,-0.28788567,-0.19007355,-0.31818736,-0.23897961,-0.07920774,0.038305279521748566,112.45482,0.13971198,rs
2024-04-26,-0.39921615,-0.40147287,-0.23340304,-0.28825107,-0.2787918,-0.22237915,-0.19852835,-0.31743795,-0.21045375,-0.10698421,0.01810711918632324,384.17664,0.10643846,rs
2024-04-27,-0.40834728,-0.3843169,-0.27826482,-0.33393955,-0.1848934,-0.28846943,-0.26659244,-0.33129084,-0.27753094,-0.05375991,0.018453048708131893,563.2827,0.15419844,rs
2024-04-28,-0.3439819,-0.34311393,-0.38711053,-0.29717076,-0.33051762,-0.22611946,-0.18958089,-0.36511225,-0.20785017,-0.15726206,0.012287663585777335,262.5616,0.16486105,rs
2024-04-29,-0.4633541,-0.43815804,-0.32311815,-0.27231812,-0.17838582,-0.15136439,-0.2072335,-0.38063806,-0.17929894,-0.20133914,0.02080335290313511,402.87137,0.14996684,rs
2024-04-30,-0.49220517,-0.35781696,-0.3424546,-0.31536752,-0.25301203,-0.22324973,-0.21897529,-0.3501358,-0.22111252,-0.12902328,0.03031009886263538,542.88916,0.15419015,rs
2024-05-01,-0.43570882,-0.3654916,-0.3787547,-0.28668833,-0.22472543,-0.29874623,-0.16120149,-0.37212315,-0.22997385,-0.1421493,0.0340766918792829,473.16125,0.21769427,rs
2024-05-02,-0.50834185,-0.49590915,-0.37785685,-0.4111214,-0.24485007,-0.26449156,-0.13235775,-0.436883,-0.19842465,-0.23845837,0.08315094660841821,411.8936,0.36084646,rs
2024-05-03,-0.38940477,-0.3588124,-0.32943672,-0.25433466,-0.1860216,-0.27388984,-0.1079312,-0.34412456,-0.19091052,-0.15321404,0.04752431260690028,173.0759,0.23499484,rs
2024-05-04,-0.4058167,-0.47454277,-0.4194433,-0.34186825,-0.27606452,-0.33657992,-0.45515522,-0.44699302,-0.3958676,-0.05112545,0.048082107675449536,319.54694,0.2681009,rs
2024-05-05,-0.3569444,-0.40584883,-0.40724322,-0.39592588,-0.33483213,-0.26273823,-0.4266382,-0.40654603,-0.3446882,-0.06185782,0.014491087929781725,383.40356,0.17859465,rs
2024-05-06,-0.28611818,-0.2550024,-0.2599489,-0.37774682,-0.24385512,-0.20875812,-0.48206806,-0.25747564,-0.3454131,0.08793742,0.022193131979207702,517.18884,0.11273817,rs
2024-05-07,-0.34500247,-0.26065832,-0.3461855,-0.30803427,-0.18412292,-0.22288997,-0.38319835,-0.3034219,-0.30304417,-0.00037774444,0.025440802390764496,528.0803,0.11669735,rs
2024-05-08,-0.33734944,-0.42681026,-0.40327704,-0.34191418,-0.20675129,-0.22286446,-0.35383174,-0.41504365,-0.2883481,-0.12669554,0.022050783708648485,668.7686,0.16798893,rs
2024-05-09,-0.27950817,-0.6131135,-0.3719846,-0.26393858,-0.21941513,-0.26372188,-0.6587663,-0.49254906,-0.4612441,-0.031304948,0.011118629121869197,158.4034,0.06935046,rs
2024-05-10,-0.6203623,-0.54363537,-0.22932184,-0.38519406,-0.13710913,-0.3787192,-0.30485472,-0.3864786,-0.34178695,-0.044691637,0.03596463325755726,256.7583,0.18834499,rs
2024-05-11,-0.31605482,-0.42525822,-0.5188853,-0.28202406,-0.21278498,-0.14589536,-0.1667088,-0.47207177,-0.15630208,-0.3157697,0.019805272311311226,263.46625,0.33314455,rs
2024-05-12,-0.38999206,-0.48441803,-0.51229537,-0.35316905,-0.14768791,-0.21550885,-0.17052071,-0.4983567,-0.19301479,-0.30534193,0.04441226390118766,277.15393,0.5526674,rs
