data,VPI_925,VPI_850,VPI_700,VPI_600,VPI_500,VPI_400,VPI_300,VPI_baixo,VPI_alto,VPI_dipolo,SLW_kg_m2,IVT_kg_m_s,TCLW_kg_m2,dominio
2024-08-01,-0.46420914,-0.14966962,-0.17180037,-0.3646242,-0.1484549,-0.24065694,-0.16838904,-0.160735,-0.204523,0.04378799,0.00042936724665295473,269.65567,0.015934328,rs
2024-08-02,-0.49789223,-0.0645135,-0.30195504,-0.2982932,-0.23276311,-0.15842146,-0.2267533,-0.18323427,-0.19258738,0.009353099,0.0,318.67596,0.0038616396,rs
2024-08-03,-0.43387043,-0.12155969,-0.35492933,-0.46249935,-0.24257451,-0.18950361,-0.20994888,-0.2382445,-0.19972625,-0.038518254,0.023878370099942803,459.9892,0.051741466,rs
2024-08-04,-0.40334007,-0.3173368,-0.30075714,-0.32072473,-0.22340566,-0.16449827,-0.2071605,-0.30904695,-0.1858294,-0.12321757,0.0657877854795789,275.185,0.1274352,rs
2024-08-05,-0.4194388,-0.36038268,-0.37507844,-0.38834906,-0.22957921,-0.19977847,-0.44734502,-0.36773056,-0.32356173,-0.04416884,0.04886506564709185,239.23923,0.20108956,rs
2024-08-06,-0.4083354,-0.25566703,-0.24649663,-0.33208692,-0.21885464,-0.26159048,-0.28903773,-0.25108182,-0.27531412,0.02423228,0.04039252547223248,438.49036,0.12032642,rs
2024-08-07,-0.370415,-0.34739327,-0.34449607,-0.4040446,-0.34744143,-0.24191484,-0.23197806,-0.34594467,-0.23694645,-0.10899823,0.08956204251892169,371.91772,0.19118044,rs
2024-08-08,-0.2376158,-0.43262732,-0.42218232,-0.36272657,-0.28929558,-0.5311159,-1.2616228,-0.42740482,-0.89636934,0.46896452,0.06768252422851267,195.15985,0.19446176,rs
2024-08-09,-0.12932754,-0.56612134,-0.4306671,-0.40546453,-0.70081806,-1.5944244,-2.6789112,-0.49839425,-2.1366677,1.6382735,0.1020842153924488,129.66757,0.15045792,rs
2024-08-10,-0.26436532,-0.40425318,-0.38126802,-0.25055978,-0.272191,-0.61002815,-1.1664201,-0.3927606,-0.8882241,0.4954635,0.023267923731160847,86.88127,0.055301443,rs
2024-08-11,-0.3058763,-0.36545494,-0.26425517,-0.18476036,-0.3008088,-0.39737022,-0.60081345,-0.31485507,-0.49909183,0.18423676,0.0021142654988550837,136.67203,0.004548833,rs
