data,MSLP_hPa,T2m_C,Td2m_C,vento_ms,vento_dir,CAPE_Jkg,CIN_Jkg,TCWV_mm,TCC,Kindex,TotalTotals,PRECIP_mm_h,IVT_kg_m_s,PRECIP_mm_dia,dominio
2024-04-01,1014.20026,21.332766,17.240421,3.2325518,104.09255,167.28673,261.14346,36.99168,0.7350466,,,0.35798606,143.78966,8.591665,caixa
2024-04-02,1013.07935,20.948479,17.146023,2.3485992,145.51677,222.03589,270.49417,32.66145,0.528219,,,0.17124158,144.45712,4.109798,caixa
2024-04-03,1011.9336,22.156664,17.638891,2.3556929,57.549885,260.978,417.6578,31.663834,0.49972495,,,0.24816765,180.73834,5.9560237,caixa
2024-04-04,1013.8084,22.474762,19.09742,1.1547797,100.47336,239.82257,235.01811,36.677406,0.6787296,,,0.2547242,199.80531,6.113381,caixa
2024-04-05,1017.0267,22.240257,17.918795,2.2128885,168.44768,219.48505,141.49982,31.714485,0.36842695,,,0.12570147,124.108635,3.0168352,caixa
2024-04-06,1017.669,20.952703,15.552849,3.410246,103.61814,96.46174,310.85318,24.377981,0.38674632,,,0.06850874,81.547676,1.6442096,caixa
2024-04-07,1015.9406,20.527056,16.660635,3.7093184,62.268368,86.951935,114.23861,34.040794,0.8183233,,,0.5251854,158.82716,12.60445,caixa
2024-04-08,1014.23065,21.541403,18.829515,2.9677632,57.1692,74.29221,252.9305,32.633442,0.6581678,,,0.15714693,94.69825,3.7715263,caixa
2024-04-09,1013.38776,22.658838,19.82538,1.7797523,139.97517,184.55385,222.03687,31.4543,0.49959055,,,0.0604338,107.45624,1.4504112,caixa
2024-04-10,1014.3118,21.351273,18.318945,3.1398642,159.59256,156.12349,141.66237,33.14494,0.62683856,,,0.16917282,83.16949,4.060148,caixa
2024-04-11,1019.0591,19.261854,15.098118,5.1984797,140.4517,43.788822,146.55566,33.311012,0.8154037,,,0.23649018,51.339184,5.675764,caixa
2024-04-12,1020.3781,19.8949,15.370812,5.1677604,99.77109,53.192333,164.38338,35.52797,0.82288903,,,0.14371574,102.613365,3.4491777,caixa
2024-04-13,1017.2302,20.804087,17.908295,5.7494373,78.473,80.97384,112.909424,44.10437,0.95741445,,,0.6319385,238.85448,15.166525,caixa
2024-04-14,1014.3593,21.786493,19.58802,5.99381,66.14718,218.1154,189.27983,47.37111,0.9718146,,,0.58177334,279.65176,13.962561,caixa
2024-04-15,1011.74274,22.340384,20.544935,6.5479145,48.383373,170.36328,162.43791,50.764576,0.99302125,,,0.64292705,566.61285,15.430249,caixa
2024-04-16,,,,,,,,,,,,,,,caixa
2024-04-17,,,,,,,,,,,,,,,caixa
2024-04-18,,,,,,,,,,,,,,,caixa
2024-04-19,,,,,,,,,,,,,,,caixa
2024-04-20,,,,,,,,,,,,,,,caixa
2024-04-21,,,,,,,,,,,,,,,caixa
2024-04-22,,,,,,,,,,,,,,,caixa
2024-04-23,,,,,,,,,,,,,,,caixa
2024-04-24,,,,,,,,,,,,,,,caixa
2024-04-25,,,,,,,,,,,,,,,caixa
2024-04-26,,,,,,,,,,,,,,,caixa
2024-04-27,1008.89404,21.823885,18.467749,2.5098138,249.73409,459.1335,278.27753,36.037113,0.62769383,,,0.48823437,445.89896,11.717625,caixa
2024-04-28,1012.33813,18.350739,13.334766,2.095082,196.84474,268.0011,232.06665,26.609953,0.45101202,,,0.18683016,235.27443,4.483924,caixa
2024-04-29,1011.25397,19.919678,16.057383,3.5626447,50.661755,518.2711,257.24106,35.418514,0.55335015,,,0.34981227,380.44247,8.395494,caixa
2024-04-30,1008.24164,22.751627,20.327227,4.168242,147.225,652.5163,344.36124,40.770683,0.7133026,,,0.43387923,448.18906,10.413101,caixa
2024-05-01,1008.79297,21.923332,19.157244,1.1100813,115.80375,447.76645,236.97725,40.332436,0.7127905,,,0.45660272,391.24692,10.958466,caixa
2024-05-02,1008.42706,19.382833,16.275526,2.613928,166.69887,191.73195,156.66063,38.125774,0.84827846,,,0.7689921,390.3479,18.45581,caixa
2024-05-03,1013.5134,16.50292,12.681363,3.0238235,158.35876,34.963303,157.06743,28.241495,0.6898436,,,0.3593403,205.9964,8.624167,caixa
2024-05-04,1014.3453,18.416893,15.600559,2.9375813,63.521957,97.529854,192.87956,33.841167,0.7817066,,,0.4137759,300.7976,9.930621,caixa
2024-05-05,1013.84204,21.448805,19.262575,3.4324358,56.523315,375.2483,383.33835,33.53811,0.69353366,,,0.15049826,317.02945,3.611958,caixa
2024-05-06,1009.9255,22.762848,19.716333,3.6741688,117.72656,504.88748,338.41733,33.95135,0.614533,,,0.3565729,431.0944,8.55775,caixa
2024-05-07,1007.6824,22.895393,19.612839,3.4960861,18.77775,567.6911,315.0468,34.840313,0.65367746,,,0.27866918,421.90247,6.6880603,caixa
2024-05-08,1007.0163,22.261774,18.478575,4.4403033,218.38747,449.35913,249.06451,34.40887,0.7717009,,,0.50047743,520.2885,12.011458,caixa
2024-05-09,1017.8748,16.173037,11.397435,4.217363,219.26744,50.383575,243.53925,19.086466,0.5360097,,,0.07219823,163.78438,1.7327574,caixa
2024-05-10,1016.2016,16.45383,12.612937,1.7182258,90.23865,63.07338,199.0291,26.925165,0.82803464,,,0.21261205,236.29645,5.1026893,caixa
2024-05-11,1013.96173,17.995745,14.817874,2.2148664,129.47673,80.54035,205.77966,30.756254,0.846127,,,0.19675606,219.95161,4.7221456,caixa
2024-05-12,1011.9434,17.762514,14.82764,3.021258,126.122475,59.599064,211.30647,31.877716,0.8508484,,,0.42497924,238.4886,10.199502,caixa
2024-05-13,1015.3086,15.40198,12.412899,5.335304,191.76068,32.19663,215.88098,24.917654,0.80130357,,,0.25648347,246.51717,6.1556034,caixa
2024-05-14,1021.33844,12.421346,8.334111,5.5214095,216.22375,9.877467,44.423336,15.190438,0.5769172,,,0.09908348,149.20177,2.3780036,caixa
2024-05-15,1019.4388,12.075345,7.2246194,4.3490863,245.64397,2.3200428,72.28127,12.297704,0.6042501,,,0.011727817,137.4518,0.28146762,caixa
2024-05-16,,,,,,,,,,,,,,,caixa
2024-05-17,,,,,,,,,,,,,,,caixa
2024-05-18,,,,,,,,,,,,,,,caixa
2024-05-19,,,,,,,,,,,,,,,caixa
2024-05-20,,,,,,,,,,,,,,,caixa
2024-05-21,,,,,,,,,,,,,,,caixa
2024-05-22,,,,,,,,,,,,,,,caixa
2024-05-23,,,,,,,,,,,,,,,caixa
2024-05-24,,,,,,,,,,,,,,,caixa
2024-05-25,,,,,,,,,,,,,,,caixa
2024-05-26,,,,,,,,,,,,,,,caixa
2024-05-27,1024.0199,12.791083,9.332822,2.7550392,103.799904,28.388308,44.068787,20.423101,0.91376066,,,0.4490793,92.492065,10.777904,caixa
2024-05-28,1021.8283,12.254836,9.135048,2.4326503,172.56042,17.536448,44.61723,16.86354,0.7452688,,,0.46345913,80.07995,11.123019,caixa
2024-05-29,1023.7883,13.392356,10.126972,2.4566267,175.30054,7.8423877,69.208435,15.074143,0.59421,,,0.022001544,74.122475,0.5280371,caixa
2024-05-30,1023.4751,13.6894045,9.976289,1.2726272,208.58069,3.6177082,55.500076,13.549224,0.44206485,,,0.0070966943,57.79071,0.17032066,caixa
