data,MSLP_hPa,T2m_C,Td2m_C,vento_ms,vento_dir,CAPE_Jkg,CIN_Jkg,TCWV_mm,TCC,Kindex,TotalTotals,PRECIP_mm_h,IVT_kg_m_s,PRECIP_mm_dia,dominio
2024-04-01,1011.8654,24.113989,19.366846,1.5246369,137.97502,278.3808,379.0328,37.781048,0.5175513,,,0.05571502,139.39626,1.3371605,corredor
2024-04-02,1012.1552,23.195099,19.603022,1.2039135,162.50879,400.1704,277.5266,38.782932,0.49846947,,,0.07419702,151.3811,1.7807283,corredor
2024-04-03,1010.69653,25.273872,20.168512,2.8081267,130.73509,473.52747,556.1595,33.660824,0.33905867,,,0.047633797,196.4779,1.1432111,corredor
2024-04-04,1012.7219,24.736504,21.435526,1.6279655,130.96184,478.55823,248.75835,42.386513,0.73638725,,,0.3085421,224.91779,7.40501,corredor
2024-04-05,1015.5201,24.155815,21.154163,2.1302593,130.60017,463.73743,146.8767,43.545746,0.58392304,,,0.25157627,104.557526,6.0378304,corredor
2024-04-06,1015.1556,22.544046,18.50312,3.523762,96.76159,234.34076,338.0626,33.232746,0.43464625,,,0.038366582,145.68309,0.92079794,corredor
2024-04-07,1013.84717,20.393494,18.398636,2.1305482,66.035576,204.3751,121.56187,42.685352,0.88817453,,,0.9002776,294.00568,21.606663,corredor
2024-04-08,1013.2752,21.689672,19.488562,0.8700202,117.366035,105.99932,302.14154,35.73552,0.7783355,,,0.1510527,143.24013,3.6252646,corredor
2024-04-09,1013.00604,23.401367,20.282118,1.0916557,113.72863,261.80435,266.24884,33.653973,0.4524304,,,0.06938836,84.73666,1.6653206,corredor
2024-04-10,1012.47235,22.927927,20.171953,1.7534631,122.64069,278.2651,148.6411,39.229847,0.6670323,,,0.34380686,80.2762,8.251365,corredor
2024-04-11,1015.5376,20.92534,19.0572,3.7633388,125.6325,82.05165,182.95015,44.74139,0.9690518,,,0.51417977,48.4321,12.340315,corredor
2024-04-12,1016.4388,21.557611,18.865522,3.6127224,99.27612,113.65807,210.04814,43.67624,0.7850618,,,0.20547701,174.80049,4.9314485,corredor
2024-04-13,1013.6575,22.191391,20.252115,2.6837003,64.79041,158.97858,111.769325,48.907413,0.95415306,,,0.5989328,352.8018,14.374388,corredor
2024-04-14,1011.7978,22.231394,21.124208,2.4567459,60.799465,305.74747,164.22946,52.280716,0.9774547,,,0.78970677,286.00598,18.952963,corredor
2024-04-15,1010.4266,22.04328,20.815605,3.3156054,27.132673,241.74901,150.70412,51.978195,0.9975452,,,0.8211891,587.25226,19.708538,corredor
2024-04-16,,,,,,,,,,,,,,,corredor
2024-04-17,,,,,,,,,,,,,,,corredor
2024-04-18,,,,,,,,,,,,,,,corredor
2024-04-19,,,,,,,,,,,,,,,corredor
2024-04-20,,,,,,,,,,,,,,,corredor
2024-04-21,,,,,,,,,,,,,,,corredor
2024-04-22,,,,,,,,,,,,,,,corredor
2024-04-23,,,,,,,,,,,,,,,corredor
2024-04-24,,,,,,,,,,,,,,,corredor
2024-04-25,,,,,,,,,,,,,,,corredor
2024-04-26,,,,,,,,,,,,,,,corredor
2024-04-27,1009.16266,24.58458,20.858158,3.0024345,185.46062,657.9268,461.76987,38.022022,0.43019065,,,0.2535893,482.38074,6.0861435,corredor
2024-04-28,1011.17,20.845472,18.219519,1.4323169,136.60982,607.4727,223.01494,41.136723,0.72649354,,,0.3708854,354.16837,8.90125,corredor
2024-04-29,1009.75244,23.067236,20.3281,3.037463,123.93218,1001.3859,293.99094,43.799007,0.5057654,,,0.2709948,549.87274,6.5038757,corredor
2024-04-30,1008.52155,25.178942,21.250223,3.5070362,101.34729,887.512,362.08987,43.7411,0.47115818,,,0.30708352,585.3328,7.3700047,corredor
2024-05-01,1007.90894,24.504524,21.19426,2.5734801,135.25935,806.2341,234.93275,45.148544,0.54378766,,,0.6299092,580.1321,15.117821,corredor
2024-05-02,1006.9454,21.595633,19.490004,1.8710384,253.56749,389.2239,146.38113,46.854263,0.87925893,,,1.2258981,619.3561,29.421555,corredor
2024-05-03,1011.52386,17.916418,16.37483,2.4506001,125.50802,71.680855,114.45446,40.36025,0.9187141,,,0.8515234,325.64688,20.436562,corredor
2024-05-04,1012.79816,19.579342,18.301592,1.3340958,119.6621,200.8731,169.54036,42.2792,0.9202845,,,0.70228094,497.8743,16.854742,corredor
2024-05-05,1013.7586,22.67157,19.55088,2.2258222,26.662497,566.1785,389.20654,35.10593,0.50795037,,,0.14863797,401.189,3.5673113,corredor
2024-05-06,1010.273,24.976181,19.365553,4.0586343,108.12534,475.93176,544.6172,29.760492,0.22053248,,,0.024532363,420.16476,0.5887767,corredor
2024-05-07,1007.96405,25.126907,19.172813,4.212371,98.02728,485.63474,535.05444,31.162285,0.3588345,,,0.012820486,450.61328,0.30769166,corredor
2024-05-08,1008.7729,24.13502,18.665033,4.1805344,223.90779,507.46646,360.97488,32.698017,0.67237514,,,0.23787169,523.1494,5.7089205,corredor
2024-05-09,1018.1155,17.321754,13.737006,2.6872418,160.89066,56.067764,199.0721,25.60669,0.6872843,,,0.1600715,178.41533,3.8417163,corredor
