data,MSLP_hPa,T2m_C,Td2m_C,vento_ms,vento_dir,CAPE_Jkg,CIN_Jkg,TCWV_mm,TCC,Kindex,TotalTotals,PRECIP_mm_h,IVT_kg_m_s,PRECIP_mm_dia,dominio
2024-04-01,1013.5703,21.174046,17.933882,3.5868843,110.09643,171.6156,259.72586,39.33382,0.7586573,,,0.50874233,149.76253,12.209816,rs
2024-04-02,1013.19,20.363945,17.151705,2.9721148,162.18785,161.89018,302.26572,33.03329,0.62018526,,,0.124257624,190.74132,2.982183,rs
2024-04-03,1012.0188,21.639473,17.513361,2.5165944,61.94133,235.35103,503.41858,31.073584,0.5193595,,,0.31895044,190.5404,7.654811,rs
2024-04-04,1013.80566,22.255468,19.593933,1.8270673,106.04072,215.66298,215.05678,39.5725,0.7816715,,,0.37423763,238.72272,8.981703,rs
2024-04-05,1017.5833,21.648079,17.78983,2.770257,145.69609,106.708984,118.8424,30.588453,0.38395557,,,0.11013269,121.63395,2.6431844,rs
2024-04-06,1018.13184,20.185802,14.925191,4.0372257,97.6498,30.449263,261.4936,20.522726,0.35708287,,,0.01833166,86.72697,0.43995982,rs
2024-04-07,1015.288,19.850851,16.699293,3.744366,67.23245,76.654335,78.27491,35.58894,0.8693691,,,0.7341601,199.24086,17.619843,rs
2024-04-08,1013.8093,21.326136,18.953255,2.158266,74.72424,52.83354,368.19507,31.975943,0.6906554,,,0.106045246,65.36688,2.545086,rs
2024-04-09,1013.3503,22.509966,19.638329,1.4946982,171.3254,101.60736,329.0035,28.806335,0.4765612,,,0.032044355,100.50931,0.76906455,rs
2024-04-10,1014.2417,21.291626,18.583181,3.1392238,155.27339,87.2201,124.71403,32.180073,0.6344784,,,0.16285564,81.362236,3.9085355,rs
2024-04-11,1019.2412,18.803957,15.138091,5.532266,131.84404,20.0675,114.7717,34.820282,0.8024834,,,0.27068877,55.1801,6.4965305,rs
2024-04-12,1020.2752,19.379473,15.55285,5.5807,97.97831,35.80324,205.8442,35.934467,0.82995677,,,0.12218136,116.65024,2.9323528,rs
2024-04-13,1016.5261,20.38588,18.321367,5.986302,77.39445,66.85754,105.85749,46.49594,0.9715624,,,0.8419909,277.8138,20.20778,rs
2024-04-14,1013.6993,21.870407,19.972246,5.9181848,64.246056,210.16887,214.17786,47.740322,0.9784646,,,0.4677081,282.47696,11.224995,rs
2024-04-15,1011.0869,22.752878,21.17436,6.336725,47.42458,179.1959,205.63396,52.042408,0.9957594,,,0.6009635,621.07794,14.423123,rs
2024-04-16,,,,,,,,,,,,,,,rs
2024-04-17,,,,,,,,,,,,,,,rs
2024-04-18,,,,,,,,,,,,,,,rs
2024-04-19,,,,,,,,,,,,,,,rs
2024-04-20,,,,,,,,,,,,,,,rs
2024-04-21,,,,,,,,,,,,,,,rs
2024-04-22,,,,,,,,,,,,,,,rs
2024-04-23,,,,,,,,,,,,,,,rs
2024-04-24,,,,,,,,,,,,,,,rs
2024-04-25,,,,,,,,,,,,,,,rs
2024-04-26,,,,,,,,,,,,,,,rs
2024-04-27,1008.41986,21.983839,19.132917,2.587195,288.2026,577.9176,252.29527,39.33469,0.73918104,,,0.7914505,549.1292,18.994812,rs
2024-04-28,1012.91113,17.256159,12.724679,2.5854003,162.56749,212.44489,95.86527,26.097551,0.48628387,,,0.31876037,236.72534,7.6502485,rs
2024-04-29,1010.8857,19.097357,16.372982,3.753067,59.318554,618.73065,155.83806,38.78825,0.6203001,,,0.66855335,444.08215,16.04528,rs
2024-04-30,1008.0019,22.330292,20.433384,4.011477,141.86736,729.23486,242.7807,43.62599,0.8077076,,,0.6662512,537.5498,15.990028,rs
2024-05-01,1008.24506,21.489084,19.731012,1.8019515,39.178883,488.02097,145.42259,44.55354,0.82089907,,,0.8977296,464.63037,21.54551,rs
2024-05-02,1007.66864,18.828989,16.825413,3.069907,150.66641,184.20323,93.19149,40.751614,0.95301,,,1.2013853,398.36133,28.833246,rs
2024-05-03,1013.73584,15.7102585,12.654662,3.6161659,143.02324,16.561293,57.97836,28.050308,0.7586448,,,0.4251344,181.37018,10.203225,rs
2024-05-04,1013.9074,18.025785,16.174673,3.1815443,77.1634,78.93598,92.75845,36.611034,0.91272813,,,0.6385303,325.21637,15.324728,rs
2024-05-05,1013.7028,21.429367,19.53666,3.2974102,94.953674,492.8485,311.8796,35.91789,0.7302043,,,0.2555465,382.4872,6.1331162,rs
2024-05-06,1009.75366,23.207848,19.763657,4.0770864,129.02003,550.17035,295.48517,36.5563,0.6308835,,,0.45468712,534.24835,10.912491,rs
2024-05-07,1007.4537,23.374205,19.57541,4.029172,16.350655,574.821,276.5754,37.587826,0.65757114,,,0.38577184,536.23566,9.258524,rs
