datetime,MSLP_hPa,T2m_C,Td2m_C,vento_ms,vento_dir,CAPE_Jkg,CIN_Jkg,TCWV_mm,TCC,Kindex,TotalTotals,PRECIP_mm_h,IVT_kg_m_s,dominio
2024-04-01 00:00:00,1014.59814,21.686707,17.500854,3.8503387,124.40167,181.35823,304.64227,35.00611,0.769051,,,0.1028885,87.89243,caixa
2024-04-01 01:00:00,1014.9869,21.396515,17.387817,3.753458,119.12988,163.68936,299.87756,35.12778,0.7939458,,,0.113308385,86.00583,caixa
2024-04-01 02:00:00,1015.04095,21.151001,17.277191,3.6432052,114.6198,154.27196,276.6823,35.270775,0.78547287,,,0.13469696,95.41542,caixa
2024-04-01 03:00:00,1015.16974,20.888062,17.15216,3.564597,110.71573,143.83606,267.56207,35.45146,0.79622436,,,0.15838552,107.41365,caixa
2024-04-01 04:00:00,1015.0588,20.709991,17.09848,3.4612541,108.03929,132.76457,256.23517,35.65016,0.8027215,,,0.1840703,121.27044,caixa
2024-04-01 05:00:00,1015.0681,20.410645,17.000397,3.4317477,107.10788,121.74691,230.9878,35.831703,0.8074617,,,0.272477,130.16751,caixa
2024-04-01 06:00:00,1014.57166,20.098785,16.976776,3.4078476,107.11548,116.899,224.94708,35.949776,0.7855737,,,0.33290106,136.76334,caixa
2024-04-01 07:00:00,1014.1068,19.91037,16.990356,3.3820314,107.83217,111.69455,265.40106,36.04236,0.77236503,,,0.30568284,143.07423,caixa
2024-04-01 08:00:00,1013.8975,19.721497,16.99176,3.454831,107.55267,104.31845,264.30518,36.14437,0.7368903,,,0.34281966,144.22115,caixa
2024-04-01 09:00:00,1013.9975,19.609741,16.951202,3.5144756,106.36444,96.21316,258.98853,36.28388,0.72490764,,,0.3424227,144.73727,caixa
2024-04-01 10:00:00,1014.1929,19.820068,16.962524,3.3304799,105.51936,68.74586,241.49358,36.64896,0.7298605,,,0.3397209,132.50822,caixa
2024-04-01 11:00:00,1014.5856,20.171143,17.118408,3.5780907,101.55791,68.32872,241.73802,36.84322,0.7125046,,,0.38162196,133.88821,caixa
2024-04-01 12:00:00,1015.02057,20.725464,17.178925,3.5561123,97.84503,85.34329,342.59756,37.11036,0.6840199,,,0.4142218,139.51083,caixa
2024-04-01 13:00:00,1015.11743,21.215332,17.182068,3.4760966,92.8421,110.51478,390.92215,37.4177,0.652721,,,0.42224884,146.27777,caixa
2024-04-01 14:00:00,1014.89166,21.916718,17.123962,3.2855356,87.90042,144.18327,333.88846,37.77695,0.6520015,,,0.4183618,158.77455,caixa
2024-04-01 15:00:00,1014.7159,22.653381,17.17212,2.9725237,85.545044,178.09198,270.85745,38.161636,0.66377723,,,0.4440448,172.96227,caixa
2024-04-01 16:00:00,1014.0413,22.960968,17.23938,2.7226179,86.14148,209.86357,223.31116,38.464405,0.6918279,,,0.48625907,182.2728,caixa
2024-04-01 17:00:00,1013.59393,23.32077,17.281189,2.504531,89.98633,245.99586,189.2088,38.690212,0.7078539,,,0.5408773,187.4947,caixa
2024-04-01 18:00:00,1013.0811,23.35083,17.341614,2.4089212,96.28929,260.8024,173.72078,38.76385,0.70365626,,,0.64054704,186.3723,caixa
2024-04-01 19:00:00,1012.81647,23.199951,17.385895,2.503198,102.868866,271.49817,187.01622,38.75802,0.7273972,,,0.54568905,181.51846,caixa
2024-04-01 20:00:00,1012.7807,22.80127,17.525238,2.7322445,107.40036,285.41583,236.8598,38.668068,0.7422736,,,0.5024115,171.56793,caixa
2024-04-01 21:00:00,1012.9545,22.155243,17.595703,2.9146073,108.44238,334.18417,267.34695,38.542927,0.74680746,,,0.43454656,158.18387,caixa
2024-04-01 22:00:00,1013.0315,21.273224,17.70929,3.0497134,111.906586,224.9055,262.97537,37.684174,0.7223558,,,0.38348648,156.70636,caixa
2024-04-01 23:00:00,1013.4879,20.838684,17.6268,3.0827878,111.09697,200.21599,255.8778,37.511417,0.729448,,,0.3479756,145.95216,caixa
2024-04-02 00:00:00,1013.8258,20.643555,17.572083,3.0349252,109.1416,187.97589,246.23349,37.320217,0.7059009,,,0.32662913,135.93573,caixa
2024-04-02 01:00:00,1013.9224,20.447113,17.489471,2.8647203,107.113266,185.53993,235.10504,37.12512,0.6714054,,,0.3183955,131.0645,caixa
2024-04-02 02:00:00,1013.7026,20.193176,17.380493,2.6581972,105.62929,186.40492,224.09149,36.886375,0.6518941,,,0.30963215,127.94428,caixa
2024-04-02 03:00:00,1013.9599,19.872498,17.24942,2.349208,106.812836,192.51305,211.33368,36.634888,0.6081952,,,0.3065534,132.8268,caixa
2024-04-02 04:00:00,1013.76794,19.687592,17.189941,2.0072908,109.79083,205.8758,204.45148,36.33269,0.57722193,,,0.30220518,142.18364,caixa
2024-04-02 05:00:00,1013.66876,19.415192,17.077728,1.7580293,117.32593,218.06808,190.23972,35.97952,0.53348583,,,0.29817653,152.08664,caixa
2024-04-02 06:00:00,1013.4839,19.078644,16.882568,1.5553384,128.06638,220.33035,181.88019,35.519405,0.50918204,,,0.29879984,162.51689,caixa
2024-04-02 07:00:00,1013.1016,18.954895,16.848236,1.5048393,143.72119,226.70193,199.47812,34.93562,0.49518937,,,0.3710725,173.2964,caixa
2024-04-02 08:00:00,1012.9921,18.810242,16.766724,1.6604133,154.19519,224.8846,211.9399,34.24864,0.4996469,,,0.34066722,176.26047,caixa
2024-04-02 09:00:00,1013.3015,18.676422,16.6792,1.8555748,160.0405,221.04716,224.49751,33.521187,0.48882324,,,0.27532884,175.05237,caixa
2024-04-02 10:00:00,1013.64166,18.813751,16.731232,2.0299428,165.07736,187.72191,233.8692,32.901943,0.56013423,,,0.20596775,169.55641,caixa
2024-04-02 11:00:00,1014.0605,19.19629,16.894867,2.309077,164.85596,179.43428,269.26065,32.216606,0.52786446,,,0.13469948,164.65005,caixa
2024-04-02 12:00:00,1014.37396,20.003265,17.16809,2.3807168,166.66113,197.28307,275.68982,31.642021,0.53223515,,,0.09357344,161.03499,caixa
2024-04-02 13:00:00,1014.4214,20.781433,17.28186,2.414196,167.88065,216.54073,280.7447,31.192135,0.5050638,,,0.08422276,157.72339,caixa
2024-04-02 14:00:00,1014.0787,21.6521,17.262482,2.3709512,169.13788,230.72212,286.544,30.856089,0.5280298,,,0.08570185,156.92424,caixa
2024-04-02 15:00:00,1013.6046,22.471619,17.309113,2.3518224,170.43732,248.63858,272.50653,30.617407,0.5477226,,,0.08092665,155.311,caixa
2024-04-02 16:00:00,1013.014,23.288696,17.188904,2.387643,172.87796,275.03156,268.6671,30.419071,0.5703482,,,0.073739536,155.27617,caixa
2024-04-02 17:00:00,1012.3858,23.709167,17.20929,2.4745817,171.71475,294.1576,267.59637,30.219372,0.5657457,,,0.058896046,152.00096,caixa
2024-04-02 18:00:00,1011.84015,23.864532,17.244781,2.553866,168.70326,286.95404,272.85422,29.991613,0.56493115,,,0.04816847,146.88159,caixa
2024-04-02 19:00:00,1011.4121,23.866943,17.224579,2.632295,162.37076,269.98297,325.61902,29.753551,0.53318375,,,0.03382017,137.53642,caixa
2024-04-02 20:00:00,1011.2857,23.62613,17.235077,2.697194,153.38524,255.12468,360.6543,29.490097,0.49075642,,,0.02345283,123.83667,caixa
2024-04-02 21:00:00,1011.264,22.903992,17.229584,2.6899364,148.03427,262.33307,395.38702,29.181728,0.4208739,,,0.016172158,108.107086,caixa
2024-04-02 22:00:00,1011.23334,21.662567,17.223114,2.877558,139.7011,194.84581,406.9034,28.591984,0.31643057,,,0.012462544,95.261086,caixa
2024-04-02 23:00:00,1011.56213,21.143677,17.16571,2.9480615,129.72804,160.74901,446.3129,28.297483,0.27299097,,,0.010533962,73.7031,caixa
2024-04-03 00:00:00,1011.93744,20.827362,17.019562,2.9223475,119.52768,132.31514,488.1919,28.050186,0.25125754,,,0.009768144,53.66289,caixa
2024-04-03 01:00:00,1012.1191,20.567047,16.892944,2.8110535,108.58554,114.860954,541.2302,27.867426,0.20150663,,,0.008746453,37.622967,caixa
2024-04-03 02:00:00,1012.11505,20.294891,16.783447,2.6689126,97.364716,111.278725,556.6185,27.788227,0.20769449,,,0.006961463,34.578327,caixa
2024-04-03 03:00:00,1012.2625,19.949127,16.624512,2.5340505,86.725586,114.01017,545.9449,27.853426,0.18491802,,,0.005305308,47.715977,caixa
2024-04-03 04:00:00,1012.0059,19.798645,16.56543,2.4007316,76.66049,117.321594,533.5809,28.040054,0.19432205,,,0.007811852,68.14542,caixa
2024-04-03 05:00:00,1011.7452,19.642242,16.542511,2.315126,68.474304,119.515465,524.12573,28.342724,0.23219779,,,0.023028895,89.272675,caixa
