T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-70.0,0.05331094928794219,5.352966641799275,C2,inteira,2024-05-01 1100UT,851,1,O1_toros_01-04mai
-65.0,0.0683021447434653,5.101200867774404,C2,inteira,2024-05-01 1100UT,3368,1,O1_toros_01-04mai
-60.0,0.05121967299244459,5.420165205361773,C2,inteira,2024-05-01 1100UT,2550,1,O1_toros_01-04mai
-55.0,0.053066870822596035,5.360219491986718,C2,inteira,2024-05-01 1100UT,2324,1,O1_toros_01-04mai
-50.0,0.0670036019212481,5.112772323201167,C2,inteira,2024-05-01 1100UT,1318,1,O1_toros_01-04mai
-45.0,0.06339004359928961,5.152390914810337,C2,inteira,2024-05-01 1100UT,687,1,O1_toros_01-04mai
-40.0,0.07207332835045924,5.0739095438271065,C2,inteira,2024-05-01 1100UT,337,1,O1_toros_01-04mai
-35.0,0.0866591077906269,5.021919142565092,C2,inteira,2024-05-01 1100UT,233,1,O1_toros_01-04mai
-30.0,0.09289555425051726,5.01303607584517,C2,inteira,2024-05-01 1100UT,296,1,O1_toros_01-04mai
-25.0,0.08601249511994977,5.023132642932476,C2,inteira,2024-05-01 1100UT,229,1,O1_toros_01-04mai
-20.0,0.09759449741529291,5.008811677901701,C2,inteira,2024-05-01 1100UT,149,1,O1_toros_01-04mai
-15.0,0.08501752709881896,5.025132422251356,C2,inteira,2024-05-01 1100UT,151,1,O1_toros_01-04mai
-70.0,0.12729460622767524,5.000744023717426,C3,inteira,2024-05-01 1100UT,30,1,O1_toros_01-04mai
-65.0,0.170721990957086,5.000019883204092,C3,inteira,2024-05-01 1100UT,37,1,O1_toros_01-04mai
-60.0,0.13899268514527668,5.000300644112247,C3,inteira,2024-05-01 1100UT,60,1,O1_toros_01-04mai
-55.0,0.040579486434726454,6.019766329271326,C3,inteira,2024-05-01 1100UT,263,1,O1_toros_01-04mai
-50.0,0.04194766619262291,5.909880990473514,C3,inteira,2024-05-01 1100UT,293,1,O1_toros_01-04mai
-45.0,0.044049765174897476,5.766867492408384,C3,inteira,2024-05-01 1100UT,86,1,O1_toros_01-04mai
-40.0,0.031312475334989334,7.2074401352798745,C3,inteira,2024-05-01 1100UT,76,1,O1_toros_01-04mai
-35.0,0.02786048853402585,7.943178158647528,C3,inteira,2024-05-01 1100UT,45,1,O1_toros_01-04mai
-30.0,0.027814213674495037,7.954549666499947,C3,inteira,2024-05-01 1100UT,41,1,O1_toros_01-04mai
-25.0,0.04314592017935475,5.823423115952066,C3,inteira,2024-05-01 1100UT,44,1,O1_toros_01-04mai
-20.0,0.021342589842863902,10.066489786878169,C3,inteira,2024-05-01 1100UT,31,1,O1_toros_01-04mai
-15.0,0.028712007326475636,7.785909048342683,C3,inteira,2024-05-01 1100UT,26,1,O1_toros_01-04mai
