onda,quando,celula,clat,clon,area_nuc,tbmin,nflash,eletrificada,dir,frac_sol
O2_surto_06-08mai,2024-05-06 1100UT,C1,-34.08,-51.892,46292,-74.3,37,1,,0.31
O2_surto_06-08mai,2024-05-06 1100UT,C2,-31.068,-56.632,327,-68.6,313,1,,0.31
O2_surto_06-08mai,2024-05-06 1100UT,C3,-31.155,-57.539,319,-67.6,586,1,,0.31
O2_surto_06-08mai,2024-05-06 1100UT,C4,-37.297,-51.457,238,-57.0,0,0,,0.31
O2_surto_06-08mai,2024-05-06 1100UT,C5,-36.844,-52.124,152,-58.4,0,0,,0.31
O2_surto_06-08mai,2024-05-06 1200UT,C1,-34.166,-51.328,48189,-73.2,3,0,"-0.09,+0.56",1.0
O2_surto_06-08mai,2024-05-06 1300UT,C6,-35.186,-47.961,24640,-73.0,169,1,,1.0
O2_surto_06-08mai,2024-05-06 1300UT,C7,-33.205,-54.304,21224,-75.2,71,1,,1.0
O2_surto_06-08mai,2024-05-06 1400UT,C6,-35.005,-47.198,18785,-73.9,261,1,"+0.18,+0.76",1.0
O2_surto_06-08mai,2024-05-06 1400UT,C7,-32.768,-54.917,16240,-74.9,56,1,"+0.44,-0.61",1.0
O2_surto_06-08mai,2024-05-06 1400UT,C8,-35.057,-50.418,1731,-62.4,2,0,,1.0
O2_surto_06-08mai,2024-05-06 1400UT,C9,-34.606,-52.591,428,-58.6,0,0,,1.0
O2_surto_06-08mai,2024-05-06 1400UT,C10,-37.66,-46.168,351,-56.9,0,0,,1.0
O2_surto_06-08mai,2024-05-06 1500UT,C7,-32.954,-54.114,18210,-71.4,29,1,"-0.19,+0.80",1.0
O2_surto_06-08mai,2024-05-06 1500UT,C6,-35.103,-46.437,15487,-71.0,0,0,"-0.10,+0.76",1.0
O2_surto_06-08mai,2024-05-06 1600UT,C7,-32.989,-53.589,15904,-69.0,12,1,"-0.03,+0.52",1.0
O2_surto_06-08mai,2024-05-06 1600UT,C6,-35.242,-45.645,13545,-69.1,0,0,"-0.14,+0.79",1.0
O2_surto_06-08mai,2024-05-06 1600UT,C11,-34.313,-51.734,1301,-57.9,0,0,,1.0
O2_surto_06-08mai,2024-05-06 1700UT,C7,-32.974,-52.724,10413,-64.5,19,1,"+0.01,+0.87",1.0
O2_surto_06-08mai,2024-05-06 1700UT,C6,-35.298,-45.043,8374,-66.3,0,0,"-0.06,+0.60",1.0
O2_surto_06-08mai,2024-05-06 1700UT,C12,-32.923,-55.451,1724,-66.6,132,1,,1.0
