T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-60.0,0.05857930181755187,5.227544131186416,C5,inteira,2024-05-06 1100UT,392,1,O2_surto_06-08mai
-55.0,0.059334103063368414,5.213672415184496,C5,inteira,2024-05-06 1100UT,1247,1,O2_surto_06-08mai
-50.0,0.06933624799801434,5.09284508525915,C5,inteira,2024-05-06 1100UT,522,1,O2_surto_06-08mai
-45.0,0.09592178636569437,5.010130201136869,C5,inteira,2024-05-06 1100UT,130,1,O2_surto_06-08mai
-40.0,0.11747605924860711,5.00168081880161,C5,inteira,2024-05-06 1100UT,55,1,O2_surto_06-08mai
-70.0,0.03560459264303082,6.543647302898249,C5,frente,2024-05-06 1200UT,3403,1,O2_surto_06-08mai
-65.0,0.036616381296330866,6.41882955563837,C5,frente,2024-05-06 1200UT,8536,1,O2_surto_06-08mai
-60.0,0.03571952145807122,6.528933744579228,C5,frente,2024-05-06 1200UT,7663,1,O2_surto_06-08mai
-55.0,0.03527575193873783,6.58653347621274,C5,frente,2024-05-06 1200UT,4388,1,O2_surto_06-08mai
-50.0,0.03825924147398925,6.237295015379996,C5,frente,2024-05-06 1200UT,1990,1,O2_surto_06-08mai
-45.0,0.052331877439222976,5.3829727418604545,C5,frente,2024-05-06 1200UT,698,1,O2_surto_06-08mai
-40.0,0.0683547209892982,5.100758434206975,C5,frente,2024-05-06 1200UT,267,1,O2_surto_06-08mai
-35.0,0.08040131142548632,5.036923321677612,C5,frente,2024-05-06 1200UT,61,1,O2_surto_06-08mai
-30.0,0.10007300047975445,5.007167349736534,C5,frente,2024-05-06 1200UT,19,1,O2_surto_06-08mai
-25.0,0.1133613642067743,5.002369602035884,C5,frente,2024-05-06 1200UT,16,1,O2_surto_06-08mai
-20.0,0.11942152688995145,5.001429262751806,C5,frente,2024-05-06 1200UT,5,1,O2_surto_06-08mai
-15.0,0.13378304563176074,5.000431868353116,C5,frente,2024-05-06 1200UT,5,1,O2_surto_06-08mai
-70.0,0.031426801414661885,7.1864894433910145,C5,traseira,2024-05-06 1200UT,811,1,O2_surto_06-08mai
-65.0,0.03380809841694162,6.792938415620833,C5,traseira,2024-05-06 1200UT,7759,1,O2_surto_06-08mai
-60.0,0.03525659823152484,6.5890677587571815,C5,traseira,2024-05-06 1200UT,11249,1,O2_surto_06-08mai
-55.0,0.033944663490401976,6.772649684558692,C5,traseira,2024-05-06 1200UT,6109,1,O2_surto_06-08mai
-50.0,0.033751194594215266,6.801460693388996,C5,traseira,2024-05-06 1200UT,2609,1,O2_surto_06-08mai
-45.0,0.03276373143667905,6.9559703805024595,C5,traseira,2024-05-06 1200UT,937,1,O2_surto_06-08mai
-40.0,0.0356488398571818,6.537980271886578,C5,traseira,2024-05-06 1200UT,342,1,O2_surto_06-08mai
-35.0,0.03145615288143577,7.181277097959591,C5,traseira,2024-05-06 1200UT,168,1,O2_surto_06-08mai
-30.0,0.028609672629611078,7.765048003269062,C5,traseira,2024-05-06 1200UT,99,1,O2_surto_06-08mai
-25.0,0.04091106501239443,5.991974342906408,C5,traseira,2024-05-06 1200UT,57,1,O2_surto_06-08mai
-20.0,0.05763681333728105,5.246578801695223,C5,traseira,2024-05-06 1200UT,22,1,O2_surto_06-08mai
-15.0,0.05141802685022991,5.413639324277932,C5,traseira,2024-05-06 1200UT,26,1,O2_surto_06-08mai
-60.0,0.03004101168905228,7.457873109595874,C6,frente,2024-05-06 1200UT,30,1,O2_surto_06-08mai
-55.0,0.02788899295053872,7.936195323989848,C6,frente,2024-05-06 1200UT,45,1,O2_surto_06-08mai
-50.0,0.028329037029870177,7.830474302983848,C6,frente,2024-05-06 1200UT,99,1,O2_surto_06-08mai
-45.0,0.02834084611186677,7.827806077665194,C6,frente,2024-05-06 1200UT,44,1,O2_surto_06-08mai
-40.0,0.031123997203638752,7.243168088798937,C6,frente,2024-05-06 1200UT,36,1,O2_surto_06-08mai
-35.0,0.032690931729911596,6.9679142346436524,C6,frente,2024-05-06 1200UT,42,1,O2_surto_06-08mai
-30.0,0.04219487998279089,5.897789253662867,C6,frente,2024-05-06 1200UT,40,1,O2_surto_06-08mai
-25.0,0.04954689314313716,5.483013642558396,C6,frente,2024-05-06 1200UT,29,1,O2_surto_06-08mai
-20.0,0.049243456150992224,5.496847919921192,C6,frente,2024-05-06 1200UT,36,1,O2_surto_06-08mai
-15.0,0.07421432785923408,5.061832266449309,C6,frente,2024-05-06 1200UT,33,1,O2_surto_06-08mai
-60.0,0.032772694107540606,6.954510032701426,C6,traseira,2024-05-06 1200UT,31,1,O2_surto_06-08mai
-55.0,0.03298727174701301,6.919976857604929,C6,traseira,2024-05-06 1200UT,50,1,O2_surto_06-08mai
-50.0,0.029728210328246442,7.52018165911582,C6,traseira,2024-05-06 1200UT,8,1,O2_surto_06-08mai
-60.0,0.03724488175658922,6.346448280858475,C1,frente,2024-05-06 1200UT,60,1,O2_surto_06-08mai
-55.0,0.03454527202381609,6.6861110325408175,C1,frente,2024-05-06 1200UT,203,1,O2_surto_06-08mai
-50.0,0.03155564023342923,7.1631401836453685,C1,frente,2024-05-06 1200UT,252,1,O2_surto_06-08mai
-45.0,0.05325962245215672,5.354479596864304,C1,frente,2024-05-06 1200UT,133,1,O2_surto_06-08mai
-40.0,0.0688669937434042,5.096547635180193,C1,frente,2024-05-06 1200UT,103,1,O2_surto_06-08mai
-35.0,0.08390649591592703,5.027570606692823,C1,frente,2024-05-06 1200UT,36,1,O2_surto_06-08mai
-30.0,0.0971114757878446,5.009173598941201,C1,frente,2024-05-06 1200UT,7,1,O2_surto_06-08mai
-60.0,0.042989368945205934,5.834226750537571,C1,traseira,2024-05-06 1200UT,65,1,O2_surto_06-08mai
-55.0,0.030465645734470144,7.368825442392296,C1,traseira,2024-05-06 1200UT,128,1,O2_surto_06-08mai
-50.0,0.028130638517205965,7.877660118955264,C1,traseira,2024-05-06 1200UT,155,1,O2_surto_06-08mai
-45.0,0.026575818282592836,8.275746749180708,C1,traseira,2024-05-06 1200UT,133,1,O2_surto_06-08mai
-40.0,0.033220805237436674,6.883031877742164,C1,traseira,2024-05-06 1200UT,42,1,O2_surto_06-08mai
-35.0,0.039245328339494207,6.144734217241213,C1,traseira,2024-05-06 1200UT,24,1,O2_surto_06-08mai
-30.0,0.05279160657285559,5.370322723595772,C1,traseira,2024-05-06 1200UT,12,1,O2_surto_06-08mai
-25.0,0.06721548070997702,5.110792889878173,C1,traseira,2024-05-06 1200UT,13,1,O2_surto_06-08mai
-60.0,0.06363714694274034,5.1492931520058685,C10,frente,2024-05-06 1200UT,30,1,O2_surto_06-08mai
-55.0,0.04983294409524607,5.471635914042528,C10,frente,2024-05-06 1200UT,241,1,O2_surto_06-08mai
