pulso,quando,celula,clat,clon,area_pix,tbmin,nflash,eletrificada,dir,de_dia
P1,2024-05-01 1100UT,C1,-28.241,-54.191,6025,-78.6,150,1,,0
P1,2024-05-01 1100UT,C2,-30.514,-49.765,49128,-76.6,0,0,,0
P1,2024-05-01 1100UT,C3,-29.175,-51.902,170,-59.8,12,1,,0
P1,2024-05-01 1100UT,C4,-30.058,-45.249,168,-56.1,0,0,,0
P1,2024-05-01 1200UT,C2,-30.282,-50.282,57757,-78.6,0,0,"+0.23,-0.52",1
P1,2024-05-01 1200UT,C4,-29.436,-45.558,376,-55.3,0,0,"+0.62,-0.31",1
P1,2024-05-01 1300UT,C2,-30.368,-49.856,58586,-82.5,0,0,"-0.09,+0.43",1
P1,2024-05-01 1300UT,C5,-29.076,-54.518,93,-62.8,15,1,,1
P1,2024-05-01 1300UT,C6,-29.966,-55.658,165,-55.5,29,1,,1
P1,2024-05-01 1400UT,C2,-30.093,-49.912,50083,-80.1,0,0,"+0.27,-0.06",1
P1,2024-05-01 1400UT,C6,-29.35,-55.27,88,-69.9,81,1,"+0.62,+0.39",1
P1,2024-05-01 1500UT,C2,-30.115,-50.12,48035,-77.9,1,0,"-0.02,-0.21",1
P1,2024-05-01 1500UT,C6,-29.21,-54.975,103,-71.7,280,1,"+0.14,+0.29",1
P1,2024-05-01 1600UT,C2,-30.135,-49.965,51394,-83.0,0,0,"-0.02,+0.15",1
P1,2024-05-01 1600UT,C7,-29.667,-56.584,625,-75.7,157,1,,1
P1,2024-05-01 1600UT,C8,-30.176,-58.129,168,-69.9,0,0,,1
P1,2024-05-01 1700UT,C2,-30.398,-49.305,58018,-80.6,3,0,"-0.26,+0.66",1
P1,2024-05-01 1700UT,C7,-29.199,-57.456,165,-57.9,75,1,"+0.47,-0.87",1
P1,2024-05-01 1700UT,C9,-30.029,-55.836,2884,-80.4,0,0,,1
P1,2024-05-01 1700UT,C8,-30.16,-58.89,495,-61.4,0,0,"+0.02,-0.76",1
P1,2024-05-01 1700UT,C10,-30.589,-57.103,1290,-71.7,2,0,,1
P1,2024-05-01 1800UT,C11,-26.613,-54.003,103,-63.5,14,1,,1
P1,2024-05-01 1800UT,C2,-30.255,-50.184,63154,-84.0,0,0,"+0.14,-0.88",1
P1,2024-05-01 1800UT,C7,-27.99,-56.9,150,-65.3,108,1,"+1.21,+0.56",1
P1,2024-05-01 1800UT,C10,-30.691,-57.721,945,-61.2,79,1,"-0.10,-0.62",1
P1,2024-05-01 1900UT,C11,-26.817,-53.159,173,-61.1,0,0,"-0.20,+0.84",1
P1,2024-05-01 1900UT,C2,-30.422,-50.745,62635,-85.8,0,0,"-0.17,-0.56",1
P1,2024-05-01 1900UT,C7,-27.674,-56.885,163,-58.8,76,1,"+0.32,+0.01",1
P1,2024-05-01 1900UT,C12,-28.179,-52.106,597,-77.9,154,1,,1
P1,2024-05-01 1900UT,C13,-28.222,-53.083,324,-77.6,222,1,,1
P1,2024-05-01 1900UT,C14,-28.44,-55.891,632,-64.1,48,1,,1
P1,2024-05-01 1900UT,C15,-28.753,-54.797,456,-69.5,21,1,,1
