T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,pulso
-70.0,0.03738380069454884,6.330933608319183,C2,frente,2024-05-01 1200UT,4675,1,P1
-65.0,0.03674016040569516,6.404269653269022,C2,frente,2024-05-01 1200UT,4078,1,P1
-60.0,0.032055336625313076,7.074913216745227,C2,frente,2024-05-01 1200UT,7401,1,P1
-55.0,0.0316766499861625,7.141435971522852,C2,frente,2024-05-01 1200UT,6418,1,P1
-50.0,0.029873685620199937,7.488608263098048,C2,frente,2024-05-01 1200UT,4402,1,P1
-45.0,0.027366389148701285,8.066892863806679,C2,frente,2024-05-01 1200UT,2671,1,P1
-65.0,0.04367205450990609,5.788094513630124,C2,traseira,2024-05-01 1200UT,334,1,P1
-60.0,0.034493887375866075,6.69334653136763,C2,traseira,2024-05-01 1200UT,4615,1,P1
-55.0,0.03436670643169707,6.711388756171308,C2,traseira,2024-05-01 1200UT,7257,1,P1
-50.0,0.033574074788969316,6.828247423532805,C2,traseira,2024-05-01 1200UT,9327,1,P1
-45.0,0.037042194716141494,6.3693659771316575,C2,traseira,2024-05-01 1200UT,5550,1,P1
-55.0,0.03138492067273284,7.194307403760933,C4,frente,2024-05-01 1200UT,12,1,P1
-50.0,0.021459628563162286,10.017476712590769,C4,frente,2024-05-01 1200UT,52,1,P1
-45.0,0.02232805290461904,9.667158322093744,C4,frente,2024-05-01 1200UT,124,1,P1
-55.0,0.01790546378309067,11.746847776528305,C4,traseira,2024-05-01 1200UT,7,1,P1
-50.0,0.01748023106281005,11.990216018911891,C4,traseira,2024-05-01 1200UT,31,1,P1
-45.0,0.01803088603704018,11.676697941799063,C4,traseira,2024-05-01 1200UT,149,1,P1
-65.0,0.027549023826752984,8.020571877126308,C2,frente,2024-05-01 1300UT,98,1,P1
-60.0,0.03367072722240857,6.813581186265055,C2,frente,2024-05-01 1300UT,1187,1,P1
-55.0,0.02530790104369017,8.64080797445666,C2,frente,2024-05-01 1300UT,7273,1,P1
-50.0,0.023946563704771745,9.078178351707965,C2,frente,2024-05-01 1300UT,10830,1,P1
-45.0,0.02463371090991128,8.851213171750292,C2,frente,2024-05-01 1300UT,7806,1,P1
-70.0,0.027619070610008064,8.00298911462608,C2,traseira,2024-05-01 1300UT,4635,1,P1
-65.0,0.0283817359755832,7.818071306316568,C2,traseira,2024-05-01 1300UT,6147,1,P1
-60.0,0.028350481636444748,7.825420619268996,C2,traseira,2024-05-01 1300UT,6103,1,P1
-55.0,0.024252998918472074,8.97535534252253,C2,traseira,2024-05-01 1300UT,4253,1,P1
-50.0,0.02012957253273917,10.605414502877915,C2,traseira,2024-05-01 1300UT,3660,1,P1
-45.0,0.019535887096687438,10.889710217671428,C2,traseira,2024-05-01 1300UT,3836,1,P1
-65.0,0.021567981655037996,9.97221580652333,C5,inteira,2024-05-01 1300UT,5,1,P1
-60.0,0.018292372832714364,11.5358350789753,C5,inteira,2024-05-01 1300UT,18,1,P1
-55.0,0.0154374972164197,13.310761409808581,C5,inteira,2024-05-01 1300UT,18,1,P1
-50.0,0.01664023710177834,12.497236563672427,C5,inteira,2024-05-01 1300UT,32,1,P1
-45.0,0.01961043983350818,10.8560580637644,C5,inteira,2024-05-01 1300UT,20,1,P1
-55.0,0.01961311362302145,10.851928390991706,C6,inteira,2024-05-01 1300UT,23,1,P1
-50.0,0.01939354137029882,10.960063931356235,C6,inteira,2024-05-01 1300UT,88,1,P1
-45.0,0.019302909391710876,11.00517500919343,C6,inteira,2024-05-01 1300UT,53,1,P1
-70.0,0.020169636750105465,10.586730985031561,C2,frente,2024-05-01 1400UT,6211,1,P1
-65.0,0.021169585711370315,10.140062694178106,C2,frente,2024-05-01 1400UT,5292,1,P1
-60.0,0.020623357612238345,10.379439830198809,C2,frente,2024-05-01 1400UT,3108,1,P1
-55.0,0.02006060752440404,10.637722026784438,C2,frente,2024-05-01 1400UT,2817,1,P1
-50.0,0.019039887864814448,11.138252297834306,C2,frente,2024-05-01 1400UT,2193,1,P1
-45.0,0.016708386426166594,12.45460413459059,C2,frente,2024-05-01 1400UT,1551,1,P1
-70.0,0.0282064393714138,7.859539984680744,C2,traseira,2024-05-01 1400UT,587,1,P1
-65.0,0.029601762747525743,7.545644416706599,C2,traseira,2024-05-01 1400UT,1408,1,P1
-60.0,0.02714087567240511,8.125073310568329,C2,traseira,2024-05-01 1400UT,3833,1,P1
-55.0,0.0252563878901007,8.656470737294157,C2,traseira,2024-05-01 1400UT,5330,1,P1
-50.0,0.020991036373777697,10.217113869956282,C2,traseira,2024-05-01 1400UT,8189,1,P1
-45.0,0.019629717513393544,10.843836925832864,C2,traseira,2024-05-01 1400UT,6456,1,P1
-60.0,0.020195749483753186,10.574587134523007,C6,frente,2024-05-01 1400UT,7,1,P1
-55.0,0.018067128591936904,11.66086960529663,C6,frente,2024-05-01 1400UT,6,1,P1
-50.0,0.017782263670895183,11.816472271285415,C6,frente,2024-05-01 1400UT,13,1,P1
-45.0,0.017230856792157623,12.140333043164283,C6,frente,2024-05-01 1400UT,18,1,P1
-70.0,0.0219443439721867,9.832972172558476,C6,traseira,2024-05-01 1400UT,8,1,P1
-65.0,0.01985270959160865,10.736373655359749,C6,traseira,2024-05-01 1400UT,8,1,P1
-60.0,0.01996399157933469,10.68490451670597,C6,traseira,2024-05-01 1400UT,8,1,P1
-55.0,0.01659070552227735,12.528376094536684,C6,traseira,2024-05-01 1400UT,8,1,P1
-45.0,0.017272505324274108,12.134385581675442,C6,traseira,2024-05-01 1400UT,6,1,P1
-70.0,0.01870372325091458,11.31263884075156,C2,frente,2024-05-01 1500UT,7100,1,P1
-65.0,0.02051322300231888,10.429038962307665,C2,frente,2024-05-01 1500UT,6808,1,P1
-60.0,0.025032361151357464,8.725374371081479,C2,frente,2024-05-01 1500UT,4510,1,P1
-55.0,0.020035662024409092,10.649454185979309,C2,frente,2024-05-01 1500UT,2452,1,P1
-50.0,0.02007591228680549,10.630536290138265,C2,frente,2024-05-01 1500UT,2222,1,P1
-45.0,0.019200820546396224,11.056481390348734,C2,frente,2024-05-01 1500UT,1639,1,P1
-70.0,0.01452727232446202,13.940498556918776,C2,traseira,2024-05-01 1500UT,213,1,P1
-65.0,0.015333108613897506,13.35983200190074,C2,traseira,2024-05-01 1500UT,3984,1,P1
-60.0,0.019457951909390533,10.92808596385046,C2,traseira,2024-05-01 1500UT,4235,1,P1
-55.0,0.023357708474694778,9.283291154548825,C2,traseira,2024-05-01 1500UT,4243,1,P1
-50.0,0.020986565301323243,10.219058073304852,C2,traseira,2024-05-01 1500UT,4921,1,P1
-45.0,0.01852802005890456,11.405748218701932,C2,traseira,2024-05-01 1500UT,4286,1,P1
-65.0,0.021230909375313738,10.11394974047712,C6,frente,2024-05-01 1500UT,12,1,P1
-60.0,0.021390355729156867,10.046755969432253,C6,frente,2024-05-01 1500UT,16,1,P1
-55.0,0.02092009492615943,10.259687550231003,C6,frente,2024-05-01 1500UT,6,1,P1
-50.0,0.033450387375122,6.9768091157596395,C6,frente,2024-05-01 1500UT,10,1,P1
-65.0,0.017742065365511872,11.839344779232302,C6,traseira,2024-05-01 1500UT,17,1,P1
-60.0,0.017513865396298504,11.970650846223528,C6,traseira,2024-05-01 1500UT,15,1,P1
-55.0,0.016874640192664957,12.352036617119463,C6,traseira,2024-05-01 1500UT,7,1,P1
-50.0,0.015923950815973704,12.958189150588396,C6,traseira,2024-05-01 1500UT,7,1,P1
-45.0,0.01673764410559412,12.474166667623933,C6,traseira,2024-05-01 1500UT,6,1,P1
-70.0,0.019099398016586916,11.107886959822924,C2,frente,2024-05-01 1600UT,11,1,P1
-65.0,0.015493684483868248,13.248712214201461,C2,frente,2024-05-01 1600UT,2496,1,P1
-60.0,0.017056085152670836,12.241707001338485,C2,frente,2024-05-01 1600UT,6961,1,P1
-55.0,0.018952193420359108,11.18327417457969,C2,frente,2024-05-01 1600UT,6548,1,P1
-50.0,0.020247508541869724,10.550594300368322,C2,frente,2024-05-01 1600UT,6817,1,P1
-45.0,0.02119346391904893,10.129844723155925,C2,frente,2024-05-01 1600UT,3322,1,P1
-70.0,0.020550873683872314,10.412031772520521,C2,traseira,2024-05-01 1600UT,4328,1,P1
-65.0,0.01991863464975517,10.704818624715434,C2,traseira,2024-05-01 1600UT,6682,1,P1
-60.0,0.02016847032600267,10.587274291351331,C2,traseira,2024-05-01 1600UT,4440,1,P1
-55.0,0.02197800804593864,9.805190612100436,C2,traseira,2024-05-01 1600UT,3907,1,P1
-50.0,0.02158299597182037,9.965999538124038,C2,traseira,2024-05-01 1600UT,2066,1,P1
-45.0,0.02304608570640821,9.395985796886546,C2,traseira,2024-05-01 1600UT,1298,1,P1
-70.0,0.027205443977756292,8.108303410549189,C7,inteira,2024-05-01 1600UT,29,1,P1
-65.0,0.02651405356189988,8.29265067988744,C7,inteira,2024-05-01 1600UT,191,1,P1
-60.0,0.02521015644345143,8.670584858557737,C7,inteira,2024-05-01 1600UT,173,1,P1
-55.0,0.024529167575680424,8.884913528981524,C7,inteira,2024-05-01 1600UT,100,1,P1
-50.0,0.02643287307069944,8.315026462360247,C7,inteira,2024-05-01 1600UT,60,1,P1
-45.0,0.027866961776427664,7.941590927986995,C7,inteira,2024-05-01 1600UT,61,1,P1
-70.0,0.024519249469262493,8.888123274721902,C8,inteira,2024-05-01 1600UT,5,1,P1
-65.0,0.024063825392250746,9.038521254981813,C8,inteira,2024-05-01 1600UT,15,1,P1
-60.0,0.021178996658501363,10.136033009517302,C8,inteira,2024-05-01 1600UT,23,1,P1
-55.0,0.020573011403384828,10.402465549426442,C8,inteira,2024-05-01 1600UT,30,1,P1
-50.0,0.019607513163759194,10.854660152285312,C8,inteira,2024-05-01 1600UT,45,1,P1
-45.0,0.01983554854840698,10.744458820964443,C8,inteira,2024-05-01 1600UT,50,1,P1
-65.0,0.017658537775499094,11.887117014393112,C2,frente,2024-05-01 1700UT,51,1,P1
-60.0,0.017158985217369763,12.179874809327707,C2,frente,2024-05-01 1700UT,1921,1,P1
-55.0,0.016422151218200287,12.634555983358137,C2,frente,2024-05-01 1700UT,7444,1,P1
-50.0,0.019187293767694798,11.063312296588348,C2,frente,2024-05-01 1700UT,12867,1,P1
-45.0,0.022770466231524733,9.498115500210538,C2,frente,2024-05-01 1700UT,7056,1,P1
-70.0,0.02354566566287155,9.216724233024536,C2,traseira,2024-05-01 1700UT,4816,1,P1
-65.0,0.021278254820064485,10.09372545828543,C2,traseira,2024-05-01 1700UT,6139,1,P1
-60.0,0.021224174504888834,10.116733120094718,C2,traseira,2024-05-01 1700UT,6093,1,P1
-55.0,0.019160755309356653,11.07673638178678,C2,traseira,2024-05-01 1700UT,4517,1,P1
-50.0,0.019125282391141446,11.094726282428251,C2,traseira,2024-05-01 1700UT,2730,1,P1
-45.0,0.02264014006030953,9.547233850362822,C2,traseira,2024-05-01 1700UT,1432,1,P1
-55.0,0.021062452851912113,10.186171661151135,C7,frente,2024-05-01 1700UT,18,1,P1
-50.0,0.021953530135955517,9.815349420995044,C7,frente,2024-05-01 1700UT,44,1,P1
-45.0,0.024531460031769127,8.884168939233998,C7,frente,2024-05-01 1700UT,19,1,P1
-60.0,0.023540457949799445,9.218554578836368,C7,traseira,2024-05-01 1700UT,13,1,P1
-55.0,0.022940387322470904,9.434870599060496,C7,traseira,2024-05-01 1700UT,25,1,P1
-50.0,0.022413571576050624,9.633905634024671,C7,traseira,2024-05-01 1700UT,30,1,P1
-45.0,0.029566818882689333,7.5577557598563505,C7,traseira,2024-05-01 1700UT,14,1,P1
-70.0,0.03522853385439634,6.592788457624173,C9,inteira,2024-05-01 1700UT,842,1,P1
-65.0,0.03389338011871064,6.7802415163388385,C9,inteira,2024-05-01 1700UT,757,1,P1
-60.0,0.03188376311710879,7.104794562278331,C9,inteira,2024-05-01 1700UT,450,1,P1
-55.0,0.03260412563113411,6.982160458893642,C9,inteira,2024-05-01 1700UT,180,1,P1
-50.0,0.04088655340096367,5.994014552933911,C9,inteira,2024-05-01 1700UT,116,1,P1
-45.0,0.046748611220618255,5.609879142656249,C9,inteira,2024-05-01 1700UT,92,1,P1
-65.0,0.026626550078385908,8.26264876413358,C8,frente,2024-05-01 1700UT,8,1,P1
-60.0,0.024454542028572473,8.909145778984609,C8,frente,2024-05-01 1700UT,81,1,P1
-55.0,0.023350547923147225,9.2858536789547,C8,frente,2024-05-01 1700UT,42,1,P1
-50.0,0.02270515164620809,9.522664951506158,C8,frente,2024-05-01 1700UT,33,1,P1
-45.0,0.021526175925925442,9.98961443366393,C8,frente,2024-05-01 1700UT,74,1,P1
-60.0,0.027725783742061628,7.976402638925183,C8,traseira,2024-05-01 1700UT,97,1,P1
-55.0,0.023908723982862565,9.091058409572703,C8,traseira,2024-05-01 1700UT,71,1,P1
-50.0,0.021871298630845446,9.848111086686785,C8,traseira,2024-05-01 1700UT,45,1,P1
-45.0,0.01943255886959321,10.941189471195024,C8,traseira,2024-05-01 1700UT,44,1,P1
-70.0,0.032828866533868066,6.945382282129602,C10,inteira,2024-05-01 1700UT,277,1,P1
-65.0,0.03251241109245177,6.997367971610028,C10,inteira,2024-05-01 1700UT,530,1,P1
-60.0,0.029946052500711327,7.4736456608722515,C10,inteira,2024-05-01 1700UT,240,1,P1
-55.0,0.02928875562435698,7.6129183705295125,C10,inteira,2024-05-01 1700UT,101,1,P1
-50.0,0.03352358287845024,6.836016224978426,C10,inteira,2024-05-01 1700UT,62,1,P1
