traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 12:00:00,-29.5,-52.0,850.0,298.26683433404787,0.11419638825787437
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 11:00:00,-29.389037508245156,-51.93401913624373,855.6989161531554,298.1141874111661,0.1155039783801122
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 10:00:00,-29.286741787550095,-51.87427888241297,858.5741587465484,298.0399565998444,0.11403634717243175
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 09:00:00,-29.187203103225404,-51.837420818180064,859.709704013994,298.2132480279348,0.10557481158202785
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 08:00:00,-29.087198045124556,-51.8317441156323,862.8414111785482,298.4216336951323,0.09283307109247763
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 07:00:00,-29.005679523112722,-51.846907023677126,869.6716426518765,298.2770310489688,0.07954058732780488
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 06:00:00,-28.963214084176617,-51.863201879317764,879.153901953634,297.70817438470715,0.06681977119432385
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 05:00:00,-28.956819947361243,-51.86342548471395,889.3569232075182,297.10289486888666,0.06462835661020681
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 04:00:00,-28.97253408005633,-51.84372052786589,899.3927572968945,296.698437151122,0.06319729941057849
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 03:00:00,-29.005667731979177,-51.80549924811581,909.010309189645,296.40332309489855,0.06254917060677818
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 02:00:00,-29.052213014855024,-51.748334961897136,917.1372050251609,296.20343342846644,0.06267463743100432
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 01:00:00,-29.110855517614112,-51.673868863224776,923.9671647536086,296.0724836191226,0.06301936451110753
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 00:00:00,-29.19364539446906,-51.58557607441229,931.87870685768,295.7452243792866,0.0648605112740204
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 23:00:00,-29.300477637543693,-51.51806711960659,941.7166525384342,295.2322948097558,0.06572450384355302
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 22:00:00,-29.400869566239617,-51.48112816628391,951.8027918665747,294.7360704043702,0.06585058565269175
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 21:00:00,-29.494650656055533,-51.471529644076,961.0621909907218,294.32807238825825,0.0670002051023472
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 20:00:00,-29.58655916336865,-51.48346128821689,968.4246198261151,294.09220239443744,0.06904998332060512
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 19:00:00,-29.680460607939896,-51.511499400359845,973.5148864751854,294.09132603676886,0.07214635461432702
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 18:00:00,-29.77801850420919,-51.550172944685286,976.824655146994,294.1042698985316,0.07654796456943211
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 17:00:00,-29.868838533408038,-51.584489205092254,977.9184227022898,294.28005239218277,0.08728178033853594
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 16:00:00,-29.93869390186222,-51.617711188949244,977.3697598070589,294.4786293615564,0.0969783218406789
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 15:00:00,-29.983842829426333,-51.65912575614138,975.861102827176,294.7150422459843,0.105623622973521
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 14:00:00,-29.99899143546482,-51.716975126506725,973.984625357847,295.03792104617946,0.11319167515315999
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 13:00:00,-29.978642104817787,-51.79827951076408,972.3195331928384,295.48259511217617,0.11868061518272513
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 12:00:00,-29.920555773357588,-51.90609616097192,971.5624429970844,295.93830153163844,0.12198224248063252
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 11:00:00,-29.85099743541797,-52.00489407743788,972.8385955925459,296.1899242231598,0.11650554001798114
