traj,pulso,nivel,t,lat,lon,AOD
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-03 12:00:00,-29.5,-52.0,0.11419638825787437
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-03 06:00:00,-28.65759966754886,-52.11126840958792,0.0592726378867663
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-03 00:00:00,-27.658027587631942,-52.97262578467406,0.04518212356352163
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-02 18:00:00,-27.60599243742629,-53.55496949985162,0.14764763137632303
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-02 12:00:00,-27.303773999229385,-54.717787311181404,0.1649246991980241
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-02 06:00:00,-26.05560827813095,-56.20124086233029,0.05072925813123104
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-02 00:00:00,-22.917357363013465,-58.37660053916803,0.03718326341673305
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-01 18:00:00,-19.718631335217943,-59.128649257980385,0.021826416292675583
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-01 12:00:00,-16.903934003645357,-60.18624630217455,0.020098429684553228
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-01 06:00:00,-14.708807463907558,-60.93228614092004,0.037168004874123604
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-05-01 00:00:00,-13.061811017233818,-60.91374874417435,0.032125915847642954
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-30 18:00:00,-12.024748365235176,-60.78860444605029,0.03203484172993326
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-30 12:00:00,-10.95846710304319,-60.38967754056672,0.03257912954467644
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-30 06:00:00,-10.005729521539026,-59.54341149945179,0.033998577546258964
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-30 00:00:00,-9.360103782543417,-58.58087582600403,0.03276897935716606
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-29 18:00:00,-8.982663501371082,-57.67188459092669,0.03551872925363609
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-29 12:00:00,-8.452839201474326,-56.73671897838982,0.03117440943531998
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-29 06:00:00,-7.7408036179893465,-55.222786085474155,0.08533964791275044
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-29 00:00:00,-7.419692978234129,-53.65064928491792,0.07373299454217863
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-28 18:00:00,-7.33170585047786,-52.144223713710176,0.07539872246355
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-28 12:00:00,-7.065561219180644,-50.82682717914522,0.09869670670895389
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-28 06:00:00,-6.951032080035392,-49.33851074246805,0.23959376007601965
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-28 00:00:00,-7.103378693396319,-47.80051619283184,0.18936109374677548
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-27 18:00:00,-7.303176407997382,-46.412953406201304,0.135318348784296
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-27 12:00:00,-7.531741667861011,-44.678573898439915,0.10855430664950759
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-27 06:00:00,-7.838518368151262,-42.92388661706936,0.05481241147177571
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-27 00:00:00,-8.236829344691142,-41.255654812765016,0.03953305357768093
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-26 18:00:00,-8.83656848534755,-39.89319455987223,0.03903376064133064
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-26 12:00:00,-9.536668209705317,-38.719558369150946,0.043719317971329094
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-26 06:00:00,-10.139085609704825,-37.5289666993479,0.03655652124224554
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-26 00:00:00,-10.405015338366681,-36.5639542870915,0.028054652214438845
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-25 18:00:00,-10.440195216311395,-35.67937458027117,0.02874667672688722
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_850,1o_pulso_02-06mai,850,2024-04-25 12:00:00,-10.342278874276301,-34.72899436032471,0.030298598759234782
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-03 12:00:00,-29.5,-52.0,0.11419638825787437
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-03 06:00:00,-29.00507943963353,-52.92100882747401,0.06594391928422298
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-03 00:00:00,-29.272413170871154,-54.188190926919596,0.061490825257466505
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-02 18:00:00,-29.873682062897238,-56.062791447033156,0.05944259895086302
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-02 12:00:00,-30.0692733604211,-59.15444336588857,0.0677644277149517
1o_pulso_02-06mai_2024-05-03_-29.5_-52.0_700,1o_pulso_02-06mai,700,2024-05-02 06:00:00,-29.955828743055825,-61.97256846981506,0.11202999137661088
